Konzernanhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Sitz
Anteil.
in %
amb Asphalt- und Bitumen-Mischwerke GmbH Augsburg 50
AMH Asphaltmischwerk Hauneck GmbH & Co. KG Hauneck 50
AMK Asphalt-Mischwerk Kirchheimbolanden GmbH & Co. KG Kirchheimbolanden 50
AMK Asphalt-Mischwerke Kraichgau GmbH Gemmingen 45
AMM Asphalt-Mischwerke-Mosel GmbH & Co.KG Neumagen 50
Arcos Hermanos S.A. Albacete, Spanien 49
DAM Deutzer Asphaltmischwerke GmbH & Co. KG Köln 60
DWA Donau-Wald Asphaltmischwerke GmbH & Co. KG Plattling 50
H&B Grondstoffen C.V. Capelle aan den Ijssel, Niederlande 48
Natursteinwerke im Nordschwarzwald NSN GmbH & Co.KG Mühlacker-Enzberg 50
NHB Nahe-Hunsrück Baustoffe GmbH & Co. KG. Kirn 50
Rheinische Provinzial-Basalt- und Lavawerke GmbH & Co. oHG Sinzig 50
Steinbruch Spittergrund GmbH Erfurt 50
Trapobet Transportbeton GmbH Kaiserslautern Kommanditgesellschaft Kaiserslautern 50
VAMA Vereinigte-Asphalt-Mischwerke Aachen GmbH & Co. Kommanditgesellschaft
Alsdorf 45"; 69 ;2016;KG;Konzernabschluss;PwC
3. VERBUNDENE NICHT KONSOLIDIERTE UNTERNEHMEN;;2016;KG;Konzernabschluss;PwC
"alessandro Cosmetics Nederland B.V. Amersfoort, Niederlande 100
alessandro Kosmetik HandelsgmbH Wien, Österreich 100
AML Asphaltmischwerk Langenthal GmbH & Co. KG Langenthal 70
AML Asphaltmischwerk Langenthal Verwaltungs-GmbH Langenthal 70
AMW Asphalt-Mischwerke Würzburg Verwaltungs-GmbH Würzburg 87
AMWE - Asphaltmischwerke GmbH i.L. Consrade 51
Asphalt - Mischwerke Rhein-Pfalz Beteiligungs-GmbH Albersweiler 52
Asphalt Mischwerk Oyle GmbH Oyle 76
Asphalt-Mischwerk Bischofsheim Verwaltung GmbH Bischofsheim 86
Asphalt-Mischwerk Demmin GmbH Plate 100
Asphaltmischwerk Wildbergerhütte GmbH Reichshof 100
Asphalt-Mischwerke Mecklenburg GmbH Consrade 50
Asphalt-Mischwerke Münsterland Verwaltungs-GmbH Ladbergen 100
AWE Asphaltmischwerk Walschleben Verwaltung GmbH Walschleben 65
B V G Baustoff-Vertriebs- u. Verwaltungsgesellschaft mbH Kirn 100
Ballarini North America Inc. Horsham, USA 100
Basalt Bulgaria EOOD Sofia, Bulgarien 100
Basalt NV Schiedam, Niederlande 100
Basalt Ukraine TOV Kiew, Ukraine 100
Basalt- und Mischwerk Herschbach GmbH Herschbach 51
Bayerische Asphaltmischwerke Gesellschaft mit beschränkter Haftung Hofolding 52
Beteiligungsgesellschaft Asphalt-Mischwerke Osnabrück mit beschränkter
Haftung
Osnabrück 53
Bitumina Handel Verwaltungs GmbH Köln 100
Bitumina Spedition Verwaltungs GmbH Linz am Rhein 100
BRP-Baustoffaufbereitungs- und Recycling-Gesellschaft in Pforzheim mbH Pforzheim 54
BWH Basaltwerk Mittelherwigsdorf Verwaltungs-GmbH Mittelherwigsdorf 51
Canteras Fernandez S.L. El Barco, Spanien 100
Canteras Fernandez S.L. Geologia S.COM El Barco, Spanien 75
Sitz
Anteil.
in %
Castrelos Elaboración S.L. El Barco, Spanien 100
DEUMA Beteiligungs-GmbH Taucha 70
DEUPA - Asphalt-Mischwerke Gesellschaft für Baustoffe mbH Berlin 100
DEUTAG Verwaltung GmbH Linz am Rhein 100
Diabaswerk Hirzenhain Verwaltungs-GmbH Linz am Rhein 55
Diabaswerk Nesselgrund Verwaltungs-GmbH Floh-Seligenthal 80
Dortmunder Gussasphalt Gesellschaft mit beschränkter Haftung Dortmund 70
Ems-Jade-Mischwerke GmbH Cappeln 81
Fünfte Werhahn Beteiligungen GmbH Neuss 100
GfR-Gesellschaft für Rekultivierung mbH Linz am Rhein 78
H + W Mischwerke Verwaltungs GmbH Berlin 100
Hansa-Asphaltmischwerke Gesellschaft mit beschränkter Haftung Dortmund 100
Hessentor Gesellschaft für Unternehmensbeteiligungen mbH Neuss 100
Hilgers Beteiligungsgesellschaft mbH Düsseldorf 100
Inn-Asphalt-Mischwerke GmbH. Nussdorf am Inn 75
Jaguar Japan Inc. Seki-shi, Japan 100
KAM Köhlbrand-Asphaltmischwerke Beteiligungsgesellschaft mbH Hamburg 100
LAJTA-KAVICS Bányászati Kft. Darnózseli, Ungarn 100
Marsdorfer Asphaltwerke Gesellschaft mit beschränkter Haftung i. L. Linz am Rhein 57
MAW-Marsdorfer Asphaltwerke Gesellschaft mit beschränkter Haftung & Co.
Kommanditgesellschaft i. L.
Linz am Rhein 57
Mischwerke Lautzenbrücken Verwaltungsgesellschaft mbH Lautzenbrücken 100
Mischwerke Mühlhausen GmbH Mühlhausen 76
Mühle Cottbus GmbH Neuss 100
Norddeutsche Naturstein Rail GmbH Flechtingen 100
Obertor Immobilien GmbH Neuss 100
OOO ""Basalt Management"" Moskau, Russische Föderation 100
Rathscheck Schiefer und Dach-Systeme Verwaltungs GmbH Mayen 100
Rheintor Immobilienholding GmbH Neuss 100
Sitz
Anteil.
in %
Sauerländer Asphaltmischwerke GmbH Brilon 72
Secato Style GmbH Solingen 100
Senftenberger Kohlenwerke GmbH Neuss 100
Stephan Beratungs-GmbH Linz am Rhein 70
Stichting Derdengelden abcfinance Utrecht, Niederlande 0
Südhessische Asphalt-Mischwerke Gesellschaft mit beschränkter Haftung Hanau 76
Südwest Asphalt Verwaltungs GmbH Iffezheim 65
TEBI Asphalt-Baustoffe GmbH & Co. Kommanditgesellschaft Höxter-Bosseborn 100
TEBI Asphalt-Baustoffe Verwaltungsgesellschaft mit beschränkter Haftung Höxter-Bosseborn 100
Thaler Baustoff-Betriebe Gesellschaft mit beschränkter Haftung Ermsleben 100
TUST Tief- und Straßenbaustoffe Verwaltungsgesellschaft mbH Flechtingen 100
Verwaltungsgesellschaft Wilh. Werhahn mit beschränkter Haftung Neuss 100
Verwaltungsgesellschaft Württembergische Asphaltmischwerke Gesellschaft
mit beschränkter Haftung i.L.
Berlin 100
VV Eins Verwaltungs-GmbH i.L. Neuss 100
WAW Asphalt GmbH Köln 100
Werhahn Bakery Products China GmbH Neuss 100
Werhahn Bakery Products Holding GmbH Neuss 100
Werhahn Flour Mills GmbH Neuss 100
WMW Weser-Mischwerke Beteiligungs GmbH Bremen 100
Zwilling Beauty Trading (Shenzhen) Ltd. Shenzhen, China 100
ZWILLING Cooking Studio LLC Wilmington, USA 100
ZWILLING Cooking Studio Minority LLC Wilmington, USA 100
ZWILLING J.A. HENCKELS (Vietnam) Ltd. Ho Chi Minh City, Vietnam 100
ZWILLING J.A. Henckels Austria GmbH Parndorf, Österreich 100
ZWILLING J.A. Henckels Ireland Ltd. Dublin, Irland 100
ZWILLING J.A. Henckels Portugal, Lda. Alcochete, Portugal 100
ZWILLING J.A. HENCKELS Sales Europe GmbH Solingen 100
ZWILLING J.A. Henckels Schweiz AG Zürich, Schweiz 100"; 70 ;2016;KG;Konzernabschluss;PwC
4. SONSTIGE ASSOZIIERTE UNTERNEHMEN;;2016;KG;Konzernabschluss;PwC
"Sitz
Anteil.
in %
""RKS"" Kies- und Splittwerke Eckelsheim GmbH & Co. KG Eckelsheim 50
""RKS"" Kies- und Splittwerke GmbH Eckelsheim 50
Adrian Basalt GmbH & Co. KG Enspel 50
Adrian Basalt Verwaltungs GmbH Enspel 50
AEL-Abfallentsorgungsanlage Lösenbach GmbH Lüdenscheid 49
AMH Asphaltmischwerk Hauneck Verwaltungs GmbH Hauneck 50
AMH Asphaltmischwerk Hellweg Gesellschaft mit beschränkter Haftung i.L. Erwitte 50
AMK Asphalt-Mischwerk Kirchheimbolanden Verwaltungs-GmbH Kirchheimbolanden 50
AMM Asphalt-Mischwerke-Mosel Verwaltungs-GmbH Neumagen 50
Arge zur Aufbereitung von Bauschutt und Baureststoffen Greifswald Greifswald 50
ASDA Asphalt-Schotter-Fabrikation GmbH i. L. Datteln 45
BW Baustoffkontor Wiesbaden GmbH & Co. KG Wiesbaden 50
BW Baustoffkontor Wiesbaden Verwaltungs-GmbH Wiesbaden 50
DAM Deutzer Asphaltmischwerke Verwaltungs-GmbH Köln 60
DWA Donau-Wald Asphaltmischwerke Verwaltungs- GmbH Plattling 50
H&B Grondstoffen B.V. Capelle aan den Ijssel, Niederlande 50
Herbert Willersinn Steinbruch- Verwaltungs GmbH Heßheim 50
Herkenrath Beteiligungsgesellschaft mbH Solingen 24
Hugo Herkenrath GmbH & Co. KG Solingen 24
J. u. G. Giro Nachf. Willersinn GmbH & Co KG Steinbruchbetrieb Bolanden 50
Natursteinwerke im Nordschwarzwald NSN Verwaltungsgesellschaft mit beschränkter
Haftung
Mühlacker 50
NHB Nahe-Hunsrück Baustoffe und Verwaltungsgesellschaft mbH Kirn 50
Nürnberger Leasing Vertriebs GmbH Schwaig bei München 45
Plattform Dach.de Gesellschaft des bürgerlichen Rechts Hamburg 20
Rheinische Provinzial-Basalt- und Lavawerke Verwaltungs-GmbH Sinzig 50
SC Diabas Bata s.r.l. Timisoara, Rumänien 50
Sitz
Anteil.
in %
Schillathöhle GmbH Oldendorf-Langenfeld 49
Schuhmacher & Heuser GmbH Katzenelnbogen 50
STA Asphaltmischwerk Strahlungen GmbH Salz 25
Steinbruch Breidenbach Verfüllungsgesellschaft mbH Breidenbach 50
Südharz-Asphalt GmbH & Co. KG i.L. Herzberg am Harz 38
Südharz-Asphalt Verwaltungsgesellschaft mbH i.L. Herzberg am Harz 38
VAMA Vereinigte-Asphalt-Mischwerke Aachen, Verwaltungsgesellschaft mit
beschränkter Haftung
Alsdorf 45
Verwaltungsgesellschaft mit beschränkter Haftung TRAPOBET Transportbeton
Kaiserslautern
Kaiserslautern 50"; 70 ;2016;KG;Konzernabschluss;PwC
5. SONSTIGE BETEILIGUNGEN;;2016;KG;Konzernabschluss;PwC
"Sitz
Anteil.
in %
Eigen kapital.
in T€
Jahresergebnis.
in T€
AME Asphalt-Mischwerke Eifel GmbH & Co.
KG
Sinzig 33 4651 -2061
Asphalt-Mischwerke Eifel Verwaltungsgesellschaft
mbH
Sinzig 33 471 31
DEBUS Naturstein GmbH & Co. KG Untersiemau 49 1.9241 9011
Debus Naturstein Verwaltungs-GmbH Untersiemau 49 291 31
Escombrera Sobredo S.L. Carballeda de Valdeorras, Spanien 22 1351 01
FREIBURGER ERDAUSHUB- UND
BAUSCHUTTAUFBEREITUNGS-GESELLSCHAFT
MIT BESCHRÄNKTER HAFTUNG
(FEBA)
Freiburg 25 3.1091 5191
Hartsteinwerke Burgk GmbH & Co. OHG Schleiz 27 3.2621 981
HWB Hartsteinwerke Burgk Verwaltungs-GmbH Schleiz 27 631 21
INTERASPHALT Sp. z o.o. Obornik, Polen 48 1.1011 901
ThyssenKrupp MillServices & Systems GmbH Duisburg 32 41.4241 4.8491"; 71 ;2016;KG;Konzernabschluss;PwC
Für weitere Gesellschaften wurde die Befreiungsvorschrift des § 313 Abs. 3 S. 1 HGB in Anspruch genommen.; 74 ;2016;KG;Konzernabschluss;PwC
Erläuterungen zur Kapitalflussrechnung;;2016;KG;Konzernabschluss;PwC
"Die Kapitalflussrechnung wird nach DRS 21 erstellt und zeigt, wie sich der Finanzmittelbestand der Werhahn-Gruppe während des Berichtsjahres durch Mittelzu- und -abflüsse verändert hat. Das Mindestgliederungsschema
ist um Positionen des Finanzdienstleistungsgeschäfts erweitert.
Zu den Verfügungsbeschränkungen innerhalb des Finanzmittelfonds verweisen wir auf Tz. 6 des Konzernanhangs.
Nachfolgend eine Kurzdarstellung der Kapitalflussrechnung:";;2016;KG;Konzernabschluss;PwC
"in T€ 2016 2015
Cashflow aus laufender Geschäftstätigkeit 266.826 371.470
Cashflow aus der Investitionstätigkeit -104.585 -184.061
Free Cashflow 162.241 187.409
Cashflow aus der Finanzierungstätigkeit -104.425 -60.380
Zahlungswirksame Veränderungen des Finanzmittelfonds 57.816 127.029
Sonstige Veränderung des Finanzmittelfonds -849 2.419
Finanzmittelfonds am Anfang der Periode 378.641 249.193
Finanzmittelfonds am Ende der Periode 435.608 378.641";;2016;KG;Konzernabschluss;PwC
Sonstige Angaben;;2016;KG;Konzernabschluss;PwC
GESCHÄFTE MIT NAHESTEHENDEN UNTERNEHMEN UND PERSONEN;;2016;KG;Konzernabschluss;PwC
"Geschäfte mit nahestehenden Unternehmen und Personen sind grundsätzlich zu marktüblichen Bedingungen erfüllt worden. Für Mitarbeiter und Gesellschafter bestehen in wenigen Geschäftsbereichen standardisierte
Rabatte auf spezifische Werhahn-Produkte. Die Transaktionen mit nahestehenden Unternehmen resultieren im Wesentlichen aus dem normalen Lieferungs- und Leistungsaustausch."; 75 ;2016;KG;Konzernabschluss;PwC
NACHTRAGSBERICHT; 64 ;2016;KG;Konzernabschluss;PwC
"Im Februar 2017 wurden die Unternehmen der Diamant-Gruppe veräußert. Aus dem Verkauf wird im Geschäftsjahr 2017 ein nicht unerheblicher Buchgewinn entstehen, da der erzielte Verkaufspreis das Nettoreinvermögen
der Diamant-Gruppe übersteigt."; 64 ;2016;KG;Konzernabschluss;PwC
Weitere Ereignisse, von denen eine wesentliche Bedeutung für die Ertrags-, Finanz- und Vermögenslage erwartet wird, sind nicht eingetreten.; 64 ;2016;KG;Konzernabschluss;PwC
NICHT IN DER KONZERNBILANZ ENTHALTENE GESCHÄFTE;;2016;KG;Konzernabschluss;PwC
"in T€ 2016 2015
Verbindlichkeiten aus der Begebung und Übertragung von Wechseln 103 140
Verbindlichkeiten aus Bürgschaften. Wechsel- und Scheckbürgschaften 10.434 9619
(davon gegenüber Verbundenen Unternehmen) (418) (508)
(davon gegenüber Assoziierten Unternehmen) (2.069) (2.283)
Verbindlichkeiten aus Gewährleistungsverträgen 143 213
Verpflichtungen aus Bestellobligo 119.904 116.371
(davon gegenüber Assoziierten Unternehmen) (373) (-)
Barwert langfristiger Verpflichtungen aus Miet-, Pacht- und Leasingverträgen 103.743 94.537
(davon gegenüber Verbundenen Unternehmen) (648) (205)
(davon gegenüber Assoziierten Unternehmen) (120) (75)
Verpflichtungen aus Kreditzusagen 134.210 38.756
Sonstige finanzielle Verpflichtungen 21.153 9.851
(davon gegenüber Verbundenen Unternehmen) (2.322) (1.059)
(davon gegenüber Assoziierten Unternehmen) (151) (135)"; 44, 61, 62 ;2016;KG;Konzernabschluss;PwC
"Über die dargestellten Haftungsverhältnisse und Sonstigen finanziellen Verpflichtungen hinausgehende außerbilanzielle Geschäfte, die für die Beurteilung der Finanzlage des Konzerns erforderlich sind, bestehen
nicht. Für alle erkennbaren Risiken aus Inanspruchnahme von Bürgschaften sind ausreichend Rückstellungen gebildet worden. Darüber hinaus wird aufgrund der positiven Wirtschaftssituation der Gesellschaften
mit keiner Inanspruchnahme gerechnet"; 45, 61 ;2016;KG;Konzernabschluss;PwC
Neuss, 5. April 2017;;2016;KG;Konzernabschluss;PwC
