Ab PDF s. 1 bis 16;;;;;;;;;;;;;;;;;;;;;;;;
Anhang für das Geschäftsjahr 2014;;;;;;;;;;;;;;;;;;;;;;;;
der New-York Hamburger Gummi-Waaren Compagnie Aktiengesellschaft, Lüneburg;;;;;;;;;;;;;;;;;;;;;;;;
; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer;;;;;;;;;;;;;;;;;;;
Herr Rolf Pasemann, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 22. Mai 2015 mitgeteilt, dass sein Stimmrechtsanteil an der New-York Hamburger Gummi - Waaren Compagnie AG, Lüneburg, Deutschland, ISIN: DE0006765506, WKN: 676550, am 12. Mai 2015 die Schwelle von 5 % überschritten hat und an diesem Tag 5,18 % (das entspricht 414.267 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Herr Frank von Bastian Brzezinski, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 12. Februar 2016 mitgeteilt, dass sein Stimmrechtsanteil an der New-York Hamburger Gummi - Waaren Compagnie AG, Lüneburg, Deutschland, ISIN: DE0006765506, WKN: 676550, am 8. Januar 2016 die Schwelle von 3 % überschritten hat und an diesem Tag 4,96 % (das entspricht 396.360 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Herr Wolfgang Kreuzer, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 15. Februar 2016 mitgeteilt, dass sein Stimmrechtsanteil an der New-York Hamburger Gummi - Waaren Compagnie AG, Lüneburg, Deutschland, ISIN: DE0006765506, WKN: 676550, am 27. Dezember 2015 die Schwelle von 10 % überschritten hat und an diesem Tag 10,67 % (das entspricht 853.438 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Herr Wolfgang Kreuzer, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 22. Februar 2016 in Korrektur mitgeteilt, dass sein Stimmrechtsanteil an der New-York Hamburger Gummi - Waaren Compagnie AG, Lüneburg, Deutschland, ISIN: DE0006765506, WKN: 676550, am 27. Dezember 2015 die Schwelle von 10 % überschritten hat und an diesem Tag 10,67 % (das entspricht 853.438 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Herr Frank von Bastian Brzezinski, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 18. Februar 2016 in Korrektur mitgeteilt, dass sein Stimmrechtsanteil an der New-York Hamburger Gummi - Waaren Compagnie AG, Lüneburg, Deutschland, ISIN: DE0006765506, WKN: 676550, am 8. Januar 2016 die Schwelle von 3 % überschritten hat und an diesem Tag 4,96 % (das entspricht 396.360 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Herr Frank von Bastian Brzezinski, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 18. Februar 2016 in Korrektur mitgeteilt, dass sein Stimmrechtsanteil an der New-York Hamburger Gummi - Waaren Compagnie AG, Lüneburg, Deutschland, ISIN: DE0006765506, WKN: 676550, am 8. Januar 2016 die Schwelle von 3 % überschritten hat und an diesem Tag 4,96 % (das entspricht 396.360 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Herr Wolfgang Kreuzer, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 23. Februar 2016 in Korrektur mitgeteilt, dass sein Stimmrechtsanteil an der New-York Hamburger Gummi - Waaren Compagnie AG, Lüneburg, Deutschland, ISIN: DE0006765506, WKN: 676550, am 27. Dezember 2015 die Schwelle von 10 % überschritten hat und an diesem Tag 10,67 % (das entspricht 853.438 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Herr Wolfgang Kreuzer, Deutschland, hat uns gemäß § 21 Abs. 1 WpHG am 22. Juli 2016 mitgeteilt, dass sein Stimmrechtsanteil an der New-York Hamburger Gummi - Waaren Compagnie AG, Lüneburg, Deutschland, ISIN: DE0006765506, WKN: 676550, am 21. Juli 2016 die Schwelle von 15 % überschritten hat und an diesem Tag 15,36 % (das entspricht 1.228.674 Stimmrechte) betragen hat.; 99 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
8. Organe; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
8.1. Vorstand; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Vorstand der NYH AG, Lüneburg, war im Geschäftsjahr 2014 bzw. ist Herr Bernd Menzel, Hamburg.; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Gesellschaft wird durch Herrn Bernd Menzel allein vertreten. Der Vorstand ist von den Beschränkungen des § 181 BGB befreit.; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Der Vorstand erhält vereinbarungsgemäß ein Festgehalt von TEUR 120 p.a. Als Sanierungsbeitrag verzichtete der Vorstand ab Mai 2014 auf monatlich TEUR 2.; 103 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Insgesamt erhielt der Vorstand im Geschäftsjahr 2014 eine Vergütung in Höhe von TEUR 128 (Vj.: TEUR 120), darin enthalten sind variable Vergütungen von TEUR 5 (Vj. TEUR 0) und eine Urlaubsabgeltung von TEUR 14 (Vj. TEUR 0) sowie Beiträge zur betrieblichen Altersversorgung von TEUR 5. An ehemalige Vorstandsmitglieder wurden Pensionszahlungen in Höhe von TEUR 25 (Vj. TEUR 24) geleistet.; 103 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Im Geschäftsjahr 2014 wurden an ehemalige Vorstandsmitglieder Pensionszahlungen in Höhe von TEUR 25 (Vj. TEUR 24) geleistet. Zum 31. Dezember 2014 bestehen nicht in der Bilanz ausgewiesene Pensionsverpflichtungen für ehemalige Vorstandsmitglieder aus der im Jahr 2010 erfolgten Umstellung auf das BilMoG in Höhe von TEUR 12.; 103, 105, 111 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
8.2. Aufsichtsrat; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Mitglieder des Aufsichtsrats waren bzw. sind:; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
•Bernd Günther, Kaufmann, Hamburg (Vorsitzender); 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
•Christian Gloe, Kaufmann, Hamburg; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
•Siegfried Deckert, Techniker, Reppenstedt; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
•Horst Wrede, Produktionsmitarbeiter, Neu Wulmstorf (Arbeitnehmervertreter, seit dem 29. Juni 2015); 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
•Werner Tschense, Einkaufsleiter, Jesteburg (Arbeitnehmervertreter, bis zum 22. Februar 2017); 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
•Arie Hendriks, Kaufmann, Afferden (vom 2. September 2014 [gerichtliche Bestellung] bis zum 16. Februar 2016); 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
•Harald Prigge, Qualitätsbeauftragter, Horneburg (Arbeitnehmervertreter, bis zum 31. Januar 2015); 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
•Jürgen Ragaller, Kaufmann, München (bis zum 23. Mai 2014); 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Folgende Mitglieder des Aufsichtsrats der NYH AG haben weitere Aufsichtsratsmandate und Mitgliedschaften in anderen Kontrollgremien i. S. des § 125 Abs. 1 Satz 5 AktG inne:; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Bernd Günther; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
•Maschinenfabrik Heid AG, Stockerau, Österreich (Vorsitzender); 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
•MATERNUS-Kliniken AG, Berlin (Vorsitzender); 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
•H+R AG, Salzbergen (Ehrenvorsitzender); 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
•WCM Beteiligungs- und Grundbesitz AG, Frankfurt am Main; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Christian Gloe; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
•New York Hamburger Environment AG (nunmehr: New York Hamburger Industrie AG), Lüneburg; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Siegfried Deckert; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
•New York Hamburger Environment AG (nunmehr: New York Hamburger Industrie AG), Lüneburg; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Werner Tschense; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
•Tacitus Capital AG, Lüneburg; 102 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Bezüge des Aufsichtsrates belaufen sich satzungsgemäß auf TEUR 23 (Vj. TEUR 23).; 103 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Als Sanierungsbeitrag beschlossen die Mitglieder des Aufsichtsrats am 17. September 2015 auf ihre nicht in Anspruch genommenen AR-Vergütungen für die Geschäftsjahre 2012-2014 zu verzichten.; 103 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
9. Erklärung zum Corporate Governance Kodex nach § 161 AktG; 88 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Aufsichtsrat und Vorstand der NYH AG haben die nach § 161 AktG geforderte Erklärung zu den Empfehlungen der „Regierungskommission Deutscher Corporate Governance Kodex“ abgegeben und den Aktionären im Internet dauerhaft zugänglich gemacht. Die Entsprechenserklärung wurde letztmalig im August 2017 geändert und auf der Internetseite der Gesellschaft www.nyhag.de den Aktionären dauerhaft zugänglich gemacht.; 88 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Lüneburg, 31. August 2017;;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Bernd Menzel, Vorstand;;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Anlagenspiegel zum 31.12.2014; 15, 16 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
New-York Hamburger Gummi-Waaren Compagnie AG;;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
"Anschaffungs-/Herstellungskosten
Stand am 01.01.2014 Zugänge Umgliederungen Abgänge Stand am 31.12.2014
EUR EUR EUR EUR EUR
A. ANLAGEVERMÖGEN
I. IMMATERIELLE VERMÖGENSGEGENSTÄNDE
1. Selbst geschaffene Vermögensgegenstände
157.353,76 0,00 0,00 0,00 157.353,76
2. Konzessionen, gewerbliche
Schutzrechte und ähnliche
Rechte und Werte sowie
Lizenzen an solchen Rechten
und Werten
673.687,32 3.876,42 0,00 0,00 677.563,74
831.041,08 3.876,42 0,00 0,00 834.917,50
II. SACHANLAGEN
1. Grundstücke, grundstücksgleiche
Rechte und Bauten
einschließlich der Bauten auf
fremden Grundstücken
11.446.173,11 0,00 0,00 0,00 11.446.173,11
2. Technische Anlagen und
Maschinen
24.406.292,74 11.988,76 0,00 0,51 24.418.280,99
3. Andere Anlagen, Betriebsund
Geschäftsausstattung
3.191.262,00 68.936,59 0,00 0,00 3.260.198,59
Anschaffungs-/Herstellungskosten
Stand am 01.01.2014 Zugänge Umgliederungen Abgänge Stand am 31.12.2014
EUR EUR EUR EUR EUR
39.043.727,85 80.925,35 0,00 0,51 39.124.652,69
III. FINANZANLAGEN
1. Anteile an verbundenen
Unternehmen
822.480,97 0,00 0,00 0,00 822.480,97
2. Beteiligungen 500.000,00 0,00 102.500,00 500.000,00 102.500,00
3. Ausleihungen, Beteiligungsverhältnis
560.424,69 76.112,31 50.000,00 0,00 686.537,00
3. Sonstige Ausleihungen 22.986,88 0,00 0,00 18.000,00 4.986,88
1.905.892,54 76.112,31 152.500,00 518.000,00 1.616.504,85
Summe Anlagevermögen 41.780.661,47 160.914,08 152.500,00 518.000,51 41.576.075,04
Kumulierte Abschreibung
Stand am 01.01.2014 Zugänge Zu- schreibungen Abgänge Stand am 31.12.2014
EUR EUR EUR EUR EUR
A. ANLAGEVERMÖGEN
I. IMMATERIELLE VERMÖGENSGEGENSTÄNDE
1. Selbst geschaffene Vermögensgegenstände
15.735,76 15.735,00 0,00 0,00 31.470,76
2. Konzessionen, gewerbliche
Schutzrechte und ähnliche
Rechte und Werte sowie
Lizenzen an solchen Rechten
und Werten
653.537,81 7.785,89 0,00 0,00 661.323,70
669.273,57 23.520,89 0,00 0,00 692.794,46
II. SACHANLAGEN
1. Grundstücke, grundstücksgleiche
Rechte und Bauten
einschließlich der Bauten auf
fremden Grundstücken
2.468.345,64 285.784,03 197.085,81 0,00 2.557.043,86
Kumulierte Abschreibung
Stand am 01.01.2014 Zugänge Zu- schreibungen Abgänge Stand am 31.12.2014
EUR EUR EUR EUR EUR
2. Technische Anlagen und
Maschinen
22.055.333,44 300.628,90 0,00 0,00 22.355.962,34
3. Andere Anlagen, Betriebsund
Geschäftsausstattung
3.061.025,83 60.039,08 0,00 0,00 3.121.064,91
27.584.704,91 646.452,01 197.085,81 0,00 28.034.071,11
III. FINANZANLAGEN
1. Anteile an verbundenen
Unternehmen
529.178,97 0,00 0,00 0,00 529.178,97
2. Beteiligungen 500.000,00 0,00 0,00 500.000,00 0,00
3. Ausleihungen, Beteiligungsverhältnis
560.424,69 76.112,31 0,00 0,00 636.537,00
3. Sonstige Ausleihungen 0,00 0,00 0,00 0,00 0,00
1.589.603,66 76.112,31 0,00 500.000,00 1.165.715,97
Summe Anlagevermögen 29.843.582,14 746.085,21 197.085,81 500.000,00 29.892.581,54
Buchwert
Stand am 31.12.2014 Stand am 31.12.2013
EUR EUR
A. ANLAGEVERMÖGEN
I. IMMATERIELLE VERMÖGENSGEGENSTÄNDE
1. Selbst geschaffene Vermögensgegenstände 125.883,00 141.618,00
2. Konzessionen, gewerbliche Schutzrechte und ähnliche
Rechte und Werte sowie Lizenzen an solchen Rechten und
Werten
16.240,04 20.149,51
142.123,04 161.767,51
II. SACHANLAGEN
1. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich
der Bauten auf fremden Grundstücken
8.889.129,25 8.977.827,47
2. Technische Anlagen und Maschinen 2.062.318,65 2.350.959,30
3. Andere Anlagen, Betriebs- und Geschäftsausstattung 139.133,68 130.236,17
Buchwert
Stand am 31.12.2014 Stand am 31.12.2013
EUR EUR
11.090.581,58 11.459.022,94
III. FINANZANLAGEN
1. Anteile an verbundenen Unternehmen 293.302,00 293.302,00
2. Beteiligungen 102.500,00 0,00
3. Ausleihungen, Beteiligungsverhältnis 50.000,00 0,00
3. Sonstige Ausleihungen 4.986,88 22.986,88
450.788,88 316.288,88
Summe Anlagevermögen 11.683.493,50 11.937.079,33"; 15, 16 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
