,annotation_original,annotation_unique,annotation_unique_extra,blob
7172,"4.66, 50","H3a, None","H3a.66, None","Bei der Gegenüberstellung der Umsatzerlöse nach Neuregelung für die Jahre 2016 und 2015 entfallen von den Umsatzerlösen TEUR
161.960 (Vorjahr TEUR 165.946) auf den Geschäftsbereich Facility Services, TEUR 351.249 (Vorjahr TEUR 299.743) auf den Bereich
Anlagenbau und TEUR 1.688 (Vorjahr TEUR 383) auf sonstige Erlöse."
7173,,None,None,Erhöhung oder Verminderung des Bestands an fertigen und unfertigen Erzeugnissen
7174,4.67,H3a,H3a.67,"In dieser Position werden neben der Veränderung des Bestands der unter den Vorräten ausgewiesenen unfertigen Leistungen für
begonnene Projekte, zusätzliche Veränderungen im Bestand der als noch nicht abrechnungsfähigen Leistungen aktivierten Beträge im
Rahmen des Energieeinsparcontractings ausgewiesen. Der Minderungsbetrag für den Bestand an aktivierten noch nicht
abrechnungsfähigen Leistungen aus Energieeinsparcontracting beläuft sich auf TEUR -1.309 (Vorjahr TEUR -1.661)."
7175,,None,None,Sonstige betriebliche Erträge
7176,"4.69, 59","H3a, H88","H3a.69, H88","Im Wesentlichen sind in diesem Posten enthalten: Erträge aus der Kraftfahrzeugnutzung der Mitarbeiter, aus
Schadenersatzleistungen durch Versicherungsgesellschaften, aus Konzernweiterbelastungen, aus dem Mehrerlös bei
Anlagenabgängen sowie Erträge aus der Auflösung von Wertberichtigungen. Erträge aus Währungsumrechnung belaufen sich auf
TEUR 432 (Vorjahr TEUR 718). Im Zusammenhang mit der Anwendung des BilRuG wurden Erlöse von insgesamt TEUR 1.688
erstmalig als Umsatzerlöse erfasst."
7177,,None,None,Sonstige betriebliche Aufwendungen
7178,"4.80, 59","H3a, H88","H3a.80, H88","Ausgewiesen sind im Wesentlichen: EDV-Kosten, Raumkosten, Fahrzeugkosten, Rechts- und Beratungskosten, Miet- und
Leasingkosten, Reisekosten, Telefon- und Internetgebühren, Konzernumlagen, Instandhaltungskosten sowie Werbekosten.
Aufwendungen aus der Währungsumrechnung belaufen sich auf TEUR 455 (Vorjahr TEUR 727). Aufgrund der Anwendung des BilRUG
wurden im Berichtsjahr Aufwendungen in Höhe von TEUR 802, die in Zusammenhang mit erstmalig als Umsatzerlöse ausgewiesen
Erträgen stehen, in die Aufwendungen aus bezogenen Leistungen umgegliedert."
7179,"4.80, 72","H3a, E38d","H3a.80, E38d","In den Rechts-und Beratungskosten sind Aufwendungen für den Abschlussprüfer in Höhe von TEUR 474 enthalten. Diese teilen sich
wie folgt auf:
a) TEUR 119 für die Abschlussprüfungsleistung
b) TEUR 1 für andere
Bestätigungsleistungen
c) TEUR 189 für Steuerberatungsleistungen
d) TEUR 165 für sonstige Leistungen."
7180,,None,None,Periodenfremde Erträge und Aufwendungen
7181,"4, 57","H3a, H84","H3a, H84","In den Erträgen sind periodenfremde Erträge im Wesentlichen aus der Auflösung aus Rückstellungen in Höhe von TEUR 518
enthalten. In den Aufwendungen sind periodenfremde Aufwendungen im Wesentlichen aus Ertragsteuern in Höhe von TEUR 213
enthalten."
7182,,None,None,Zinsergebnis
7183,"4, 58","H3a, H86","H3a, H86","Im Zinsergebnis sind Zinsaufwendungen in Höhe von TEUR 534 (Vorjahr TEUR 828) aus der Auf- bzw. Abzinsung langfristiger
Rückstellungen enthalten."
7184,,None,None,Außergewöhnliche Aufwendungen
7185,"4.73, 4.80","H3a, H3a","H3a.73, H3a.80","Die außergewöhnlichen Aufwendungen aus Restrukturierungsmaßnahmen in Höhe von TEUR 8.433 entfallen auf
Personalaufwendungen von TEUR 6.914 und sonstige betriebliche Aufwendungen von TEUR 1.519."
7186,,None,None,Steuern vom Einkommen und vom Ertrag
7187,4.90,H3a,H3a.90,"In dieser Position sind unter anderem Aufwendungen für laufende ausländische Ertragsteuern TEUR 31 (Vorjahr TEUR 570) enthalten.
Seit 2012 besteht ein Ergebnisabführungsvertrag mit dem Gesellschafter Caverion GmbH, München."
7188,,None,None,Sonstige Steuern
7189,4.92,H3a,H3a.92,In dieser Position sind Kraftfahrzeugsteuern und Grundsteuern ausgewiesen.
7190,,None,None,D. Sonstige Angaben
7191,,None,None,1 . Sonstige finanzielle Verpflichtungen
7192,67,H104,H104,"Es bestehen folgende sonstige finanzielle Verpflichtungen:
2017
TEUR
2018 -2021
TEUR
Folgende
TEUR
Gesamt
TEUR
IT-Dienstleistungen 8.533 4.458 0 12.991
davon verbundene Unternehmen 7.210 3.605 0 10.815"
7193,67,H104,H104,"2017
TEUR
2018 -2021
TEUR
Folgende
TEUR
Gesamt
TEUR
Kfz-Leasingverträge 2.938 2.720 0 5.658
Mietverpflichtungen 7.728 19.397 7.088 34.213
Sonstiges 3.179 180 0 3.359
davon verbundene Unternehmen 3.005 0 0 3.005
22.378 26.755 7.088 56.221"
7194,,None,None,"Verpflichtungen gegenüber assoziierten Unternehmen und Verpflichtungen aus Altersversorgung die nicht in der Bilanz enthalten sind
bestehen nicht."
7195,,None,None,2. Durchschnittliche Zahl der Arbeitnehmer nach Gruppen während des Geschäftsjahres
7196,64,FS57a,FS57a,"Angestellte 1.197
Arbeiter 1.025
Aushilfen 23
2.245
Im Jahr 2016 waren durchschnittlich 218 Auszubildende beschäftigt."
7197,,None,None,3. Angaben zu nahestehenden Personen
7198,,None,None,Transaktionen zu nicht marktüblichen Konditionen fanden im Geschäftsjahr 2016 zu nahestehenden Personen nicht statt.
7199,,None,None,4. Gesellschafter und ihre Anteile
7200,,None,None,"Seit dem 31.05.2011 ist die Caverion GmbH (ehemals Caverion Central Europe GmbH) mit Sitz in München mit 100 % beteiligt. Seit
dem Geschäftsjahr 2012 besteht ein Ergebnisabführungsvertrag (EAV) mit der Muttergesellschaft Caverion GmbH (ehemals Caverion
Central Europe GmbH) in München, der mit Datum vom 9.11.2012 ins Handelsregister eingetragen ist."
7201,,None,None,5. Beteiligungsverhältnisse
7202,,None,None,Die Gesellschaft ist am Bilanzstichtag an keinen Unternehmen beteiligt.
7203,,None,None,6. Organmitglieder
7204,,None,None,Geschäftsführer
7205,"83, 84","E43, E44","E43, E44","Der Geschäftsführung gehörten im Geschäftsjahr 2016 an:
Herr Werner Kühn, Adlkofen, CEO
Herr Frank Krause, Berlin, CSO (seit 13.04.2016)
Herr Marc-Oliver Kreis, Köln, CFO (seit 13.04.2016)
Herr Albert Vonnahme, Rösrath-Forsbach, Kaufmännischer
Geschäftsführer (bis 29.02.2016)
Die Gesamtbezüge der Geschäftsführer betrugen: TEUR 913."
7206,87,H143,H143,"Den Geschäftsführern wird im Rahmen zweier Aktienoptionsprogramme einmal bis zum 30.04.2018 die Berechtigung zum Bezug von
insgesamt 37.000 Aktien und einmal bis zum 28.02.2019 die Berechtigung zum Bezug von insgesamt 29.500 Aktien erteilt. Die
Rückstellung zum 31.12.2016 beträgt TEUR 0."
7207,"83, 84","E43, E44","E43, E44","Aufsichtsrat
Herr Fredrik Olof Thernström-Strand, Lidingö, CEO, Caverion Corporation (bis 17.05.2016)
Herr Sakari Tapio Toikkanen, Espoo, CEO ad interim, Caverion Corporation
Herr Antti Juhani Heinola, Helsinki, CFO, Caverion Corporation (bis 15.09.2016)
Herr Dr. Martti Juhani Ala-Härkönen, Espoo, CFO, Caverion Corporation (seit 15.09.2016)
Frau Merja Kristiina Eskola, Siuntio, Senior Vice President, Caverion Corporation
Frau Carina Qvarngard, Danderyd, Senior Vice President, Caverion Corporation (bis 24.06.2016)
Herr Matti Malmberg, Vaasa, Senior Vice President, Caverion Corporation
Herr Jarno Mikael Hacklin, Espoo, CEO, Caverion Finland (seit 19.05.2016)
Herr Jonne Tuomas Heino, Caverion Corporate General Councel (seit 24.06.2016)
Frau Dr. Regina Görner, Frankfurt, Vertreter der IG Metall (bis 28.01.2016)
Frau Susanne Thomas, Ludwigsburg, Vertreter der IG Metall (bis 28.01.2016)
Frau Angelika Lorenz-Dreßen, Herzogenrath, Sachbearbeiterin, Caverion Deutschland GmbH (bis
28.01.2016)
Frau Andrea Lawrenz, Horst, Assistentin, Caverion Deutschland GmbH (bis 28.01.2016)
Herr Karl-Heinz Pfisterer, Frankfurt, Teamleiter FS, Caverion Deutschland GmbH (bis 28.01.2016)
Herr Bernhard Maurer, Grafenwiesen, Niederlassungsleiter, Caverion Deutschland GmbH (bis 28.01.2016)
Frau Janine Heide, Aachen, Vertreter der IG Metall (seit 29.01.2016)
Herr Günter Zerlik, Frankfurt, Vertreter der IG Metall (seit 29.01.2016)
Frau Illona Wieland, Steinenbronn, freigestellte Betriebsrätin, Caverion Deutschland GmbH (seit
29.01.2016)
Herr Michael Schröder-Seitz, Langenbach, Projektleiter, Caverion Deutschland GmbH (seit 29.01.2016)
Herr Gregor Omphalius, Pulheim, technischer Sachbearbeiter, Caverion Deutschland GmbH (seit
29.01.2016)
Herr Franz Wudy, Lindberg, Leiter IMS, Caverion Deutschland GmbH (seit 29.01.2016)
Aufsichtsratsvergütungen wurden nicht gewährt."
7208,,None,None,7. Ereignisse nach dem Bilanzstichtag
7209,69,None,None,"Vorgänge von besonderer Bedeutung, die nach dem Schluss des Geschäftsjahres eingetreten sind und Auswirkungen auf die Ertrags-,
Finanz- und Vermögenslage haben, sind nicht eingetreten."
7210,,None,None,8 . Konzernzugehörigkeit
7211,75,H118,H118,"Der gemäß den Vorschriften der IFRS erstellte und geprüfte Konzernabschluss der Caverion Oyj, Helsinki, Finnland, in der die
Gesellschaft einbezogen ist, wird nach den Vorschriften des § 325 ff. HGB in deutscher Sprache beim Betreiber des Bundesanzeigers
veröffentlicht und ist beim Zentralamt für Patent und Registrierungen, Helsinki, unter der Registriernummer 2534127-4 hinterlegt."
7212,,None,None,"München, den 9. März 2017"
7213,,None,None,
7214,,None,None,"Werner Kühn, (CEO), Adlkofen
Frank Krause, (CSO), Berlin
Marc-Oliver Kreis, (CFO), Köln"
7215,"15, 16","H17a, H17b","H17a, H17b","Entwicklung des Anlagevermögens für die Zeit vom 1. Januar 2015 bis 31. Dezember 2016
Anschaffungs- und Herstellungskosten
Stand
01.01.2016
Euro
Zugänge
Euro
Abgänge
Euro
Umbuchungen
Euro
Stand
31.12.2016
Euro
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene gewerbliche Schutzrechte und
ähnliche Rechte und Werte
11.931.908 7.158.801 131.629 725.555 19.684.635
2. Geschäfts- oder Firmenwert 55.123.186 0 0 0 55.123.186
3. Geleistete Anzahlungen 725.555 0 0 -725.555 0
67.780.649 7.158.801 131.629 0 74.807.821
II. Sachanlagen
einschl. der Bauten auf fremden Grundstücken 17.013 0 0 0 17.013
Anschaffungs- und Herstellungskosten
Stand
01.01.2016
Euro
Zugänge
Euro
Abgänge
Euro
Umbuchungen
Euro
Stand
31.12.2016
Euro
2. Technische Anlagen und Maschinen 2.811.096 298.338 67.109 0 3.042.325
3. Andere Anlagen, Betriebs und Geschäftsausstattung 15.316.331 1.402.007 83.515 1.926 16.636.749
4. Geleistete Anzahlungen und Anlagen im Bau 81.926 93.042 0 -1.926 173.042
18.226.366 1.793.387 150.624 0 19.869.129
86.007.015 8.952.188 282.253 0 94.676.950
Abschreibungen
Stand
01.01.2016
Euro
Zugänge
Euro
Abgänge
Euro
Stand
31.12.2016
Euro
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene gewerbliche Schutzrechte und ähnliche Rechte
und Werte
4.799.023 4.550.358 43.877 9.305.504
2. Geschäfts- oder Firmenwert 54.439.214 167.804 0 54.607.018
3. Geleistete Anzahlungen 0 0 0 0
59.238.237 4.718.162 43.877 63.912.522
II. Sachanlagen
einschl. der Bauten auf fremden Grundstücken 12.175 1.756 0 13.931
2. Technische Anlagen und Maschinen 1.474.726 267.945 30.758 1.711.913
3. Andere Anlagen, Betriebs und Geschäftsausstattung 8.020.620 2.135.157 75.065 10.080.712
4. Geleistete Anzahlungen und Anlagen im Bau 0 0 0 0
9.507.521 2.404.858 105.823 11.806.556
68.745.758 7.123.020 149.700 75.719.078
Buchwert Buchwert
31.12.2016
Euro
31.12.2015
Euro
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene gewerbliche Schutzrechte und ähnliche Rechte und Werte 10.379.131 7.132.885
2. Geschäfts- oder Firmenwert 516.168 683.972
3. Geleistete Anzahlungen 0 725.555
10.895.299 8.542.412
II. Sachanlagen
einschl. der Bauten auf fremden Grundstücken 3.082 4.838
2. Technische Anlagen und Maschinen 1.330.412 1.336.370
3. Andere Anlagen, Betriebs und Geschäftsausstattung 6.556.037 7.295.711
4. Geleistete Anzahlungen und Anlagen im Bau 173.042 81.926
8.062.573 8.718.845
18.957.872 17.261.257"
7216,"42, 43","H61, H62","H61, H62","Verbindlichkeitenspiegel zum 31.12.2016
31.12.2016
Restzeit bis 1
Jahr
EUR
über 1 Jahr
EUR
davon über 5
Jahre
EUR Gesamt
1. Verbindlichkeiten gg. Kreditinstuten 38.910 0 0 38.910
2. Erhaltene Anzahlungen auf Bestellungen 42.580.905 6.871.687 2.624.377 49.452.591
3. Verbindlichkeiten aus L/L 32.536.448 7.590.304 6.287.612 40.126.752
4. Verbindlichkeiten verb. Unternehmen 6.348.074 0 0 6.348.074
5. Sonstige Verbindlichkeiten 8.636.324 0 0 8.636.324
Summe 90.140.660 14.461.990 8.911.989 104.602.651
31.12.2015
Restzeit bis 1
Jahr
EUR
über 1 Jahr
EUR
davon über 5
Jahre
EUR Gesamt
1. Verbindlichkeiten gg. Kreditinstuten 206 0 0 206
2. Erhaltene Anzahlungen auf Bestellungen 25.093.654 8.024.081 3.622.652 33.117.735
3. Verbindlichkeiten aus L/L 45.304.861 6.448.947 4.514.138 51.753.808
4. Verbindlichkeiten verb. Unternehmen 7.088.098 0 0 7.088.098
5. Sonstige Verbindlichkeiten 8.521.979 0 0 8.521.979
Summe 86.008.797 14.473.028 8.136.790 100.481.826"
7217,,None,None,Anhang zum Jahresabschluss 2016
7218,,None,None,Allgemeine Angaben
7219,90,H151,H151,"Die SOLVAY GmbH hat ihren Sitz in Hannover, Deutschland, und ist beim Amtsgericht Hannover unter der Registernummer HRB
53686 eingetragen, Gesellschafter der SOLVAY GmbH sind die Solvay S.A., Brüssel, mit einem Anteil am Stammkapital von EUR
148.255.000,- (52,26 %), die Solvay Participations France S.A., Paris, mit einem Anteil von EUR 100.960.000,- (35,59 %) und die
Solvay Quimica S.L, Barcelona (vormals Solvay Iberica S.L, Barcelona) mit einem Anteil von EUR 34.451.000,- (12,15 %)."
7220,75,H118,H118,"Die Solvay S.A. erstellt einen Konzernabschluss mit Konzernlagebericht für den größten und den kleinsten Kreis von Unternehmen, in
den die SOLVAY GmbH einbezogen wird. Er wird in deutscher Sprache beim Bundesanzeiger hinterlegt. Die Befreiungsregelungen von
der Konzernrechnungslegungspflicht des § 291 HGB werden von der SOLVAY GmbH in Anspruch genommen."
7221,,None,None,Zwischen der SOLVAY GmbH und mehreren verbundenen Gesellschaften bestehen Beherrschungs- und Ergebnisabführungsverträge.
7222,,None,None,Anwendung gesetzlicher Vorschriften
7223,,None,None,"Die Erstellung des Jahresabschlusses erfolgte nach den Vorschriften des Handelsgesetzbuches in der Fassung des Bilanzrichtlinien-
Umsetzungsgesetz (BilRUG)."
7224,51,H76,H76,"Die Vorjahreszahlen der Umsatzerlöse sind aufgrund der Neufassung von § 277 Abs. 1 HGB durch das BilRUG nicht vergleichbar. Bei
der Anwendung des § 277 Abs. 1 HGB in der Fassung des BilRUG hätten sich für das Vorjahr Umsatzerlöse in Höhe von KEUR 28,795
ergeben. In diesem Zusammenhang sind auch Mietaufwendungen und Konzernumlagen, die im Zusammenhang mit der
Umsatzerzielung durch Weitervermietung bzw. Weiterverrechnung stehen, als bezogene Leistungen im Materialaufwand statt in den
sonstigen betrieblichen Aufwendungen ausgewiesen. Bei Anwendung im Vorjahr hätte dies zu einem Materialaufwand von KEUR
4.460 geführt. Die Sonstigen betrieblichen Aufwendungen des Vorjahres hätten danach KEUR 39.464 betragen."
7225,7,H6,H6,"Im Interesse der Klarheit der Darstellung sind nach § 265 Abs. 7 Nr. 2 HGB einige Posten der Bilanz und der Gewinn- und
Verlustrechnung zusammengefasst und stattdessen im Anhang gesondert ausgewiesen."
7226,"4.0, 8.0","H3a, H7","H3a.0, H7.0",Bilanzierungs- und Bewertungsgrundsätze
7227,8.4,H7,H7.4,"Entgeltlich erworbene immaterielle Vermögensgegenstände werden zu Anschaffungskosten, vermindert um planmäßige
Abschreibungen, angesetzt."
7228,8.7,H7,H7.7,"Die abnutzbaren Sachanlagen werden zu Anschaffungskosten aktiviert und planmäßig entsprechend der betriebsgewöhnlichen
Nutzungsdauer linear abgeschrieben."
7229,8.7,H7,H7.7,"Jahre
Bauten einschließlich der Bauten auf fremden Grundstücken 25 bis 50
Technische Anlagen und Maschinen 10 bis 20
Andere Anlagen, Betriebs- und Geschäftsausstattung 5 bis 10"
7230,8.7,H7,H7.7,"Geringwertige Anlagegüter mit Anschaffungskosten bis zu EUR 150,- werden sofort als Aufwand erfasst. Vermögensgegenstände,
deren Anschaffungskosten über EUR 150,-liegen und EUR 1.000,- nicht übersteigen, werden im Jahr der Anschaffung in einem
Sammelposten zusammengefasst und linear über fünf Jahre abgeschrieben."
7231,8.13,H7,H7.13,"Die Anteile an verbundenen Unternehmen und Beteiligungen werden zu Anschaffungskosten oder dem niedrigeren beizulegenden
Wert des Bilanzstichtags angesetzt."
7232,"8.14, 8.16, 8.18, 8.25, 8.33 ","H7, H7, H7, H7, H7","H7.14, H7.16, H7.18, H7.25, H7.33","Ausleihungen, Forderungen und flüssige Mittel werden mit ihren Nominalwerten angesetzt. Soweit erforderlich, werden auf
Forderungen aus Lieferungen und Leistungen und sonstige Forderungen Einzelwertberichtigungen vorgenommen."
7233,8.36,H7,H7.36,"Soweit Verpflichtungen aus Altersversorgung oder ähnliche langfristige Verpflichtungen durch insolvenzgeschützte
Rückdeckungsversicherungen oder durch im Rahmen insolvenzfester Treuhandvereinbarungen hinterlegte Wertpapiere gedeckt und dem Zugriff der übrigen Gläubiger entzogen sind, werden die beizulegenden Zeitwerte des Deckungsvermögens mit den dazugehörenden Verpflichtungen verrechnet."
7234,"8.48, 34, 38","H7, H50, H54","H7.48, H50, H54","Die Rückstellungen für Pensionen und ähnliche Verpflichtungen werden nach dem Anwartschaftsbarwertverfahren (Projected-Unit-
Credit-Methode) auf der Grundlage der biometrischen Rechnungsgrundlagen der ""Richttafeln 2005 G"" von Prof Dr. Heubeck bewertet,
Zukünftig erwartete Entgelt- und Rentensteigerungen werden in den versicherungsmathematischen Berechnungen und Annahmen
angemessen berücksichtigt. Dabei wird von einer Gehaltsdynamik von 2,75 % und einer Rentendynamik von 2 % bzw. 1,00 % je
nach Versorgungsordnung ausgegangen. Bei den Anwartschaften wird von einer Fluktuation von 1,32 - 3,58 % gestaffelt nach Alter
ausgegangen. Der Abzinsungssatz für die Verpflichtungen beläuft sich auf 4,01 %. Hierbei handelt es sich um den von der Deutschen
Bundesbank veröffentlichten durchschnittlichen Marktzinssatz der vergangenen zehn Geschäftsjahre für eine angenommene
Restlaufzeit von 15 Jahren. Auswirkungen einer Änderung des Abzinsungssatzes auf den Erfüllungsbetrag werden im Gegensatz zum
Vorjahr nicht im betrieblichen Ergebnis, sondern im Zinsergebnis erfasst. Hierbei wurde bei allen deutschen Gesellschaften des
Solvay-Konzerns vom Methodenwahlrecht Gebrauch gemacht, den Ergebniseffekt nicht mehr im Personalaufwand zu zeigen."
7235,8.49,H7,H7.49,"Die Steuerrückstellungen und die sonstigen Rückstellungen berücksichtigen alle erkennbaren Risiken aus schwebenden Geschäften
und ungewisse Verpflichtungen. Sie werden nach vernünftiger kaufmännischer Beurteilung bemessen. Der Ansatz erfolgt in Höhe des
Erfüllungsbetrages unter Berücksichtigung zu erwartender Preissteigerungen. Rückstellungen mit einer Restlaufzeit von mehr als
einem Jahr sind mit dem ihrer Restlaufzeit entsprechenden durchschnittlichen Marktzinssatz der vergangenen sieben Geschäftsjahre,
der von der Deutschen Bundesbank bekannt gegeben wird, abgezinst. Rückstellungen mit einer Restlaufzeit bis zu einem Jahr
werden nicht abgezinst. Der Abzinsungssatz für Personalrückstellungen mit biometrischen Risiken beträgt 3,24%. Hierbei handelt es
sich um den von der Deutschen Bundesbank veröffentlichten durchschnittlichen Marktzinssatz der vergangenen sieben
Geschäftsjahre für eine angenommene Restlaufzeit von 15 Jahren. Hinsichtlich der Berücksichtigung zukünftig erwarteter
Veränderungen in der Bemessungsgrundlage und der durch eine Änderung des Abzinsungssatzes ausgelösten Wertänderung sind die
für Pensionsrückstellungen getroffenen Annahmen und die angewandte Ausweismethode analog zur Anwendung gelangt. Soweit
langfristige Personalrückstellungen ausschließlich durch den Wert des gehaltenen Deckungsvermögens bestimmt werden, sind sie mit
dem beizulegenden Zeitwert der Deckungswerte bewertet."
7236,8.51,H7,H7.51,Verbindlichkeiten werden mit ihrem Erfüllungsbetrag am Bilanzstichtag bilanziert.
7237,"8.35, 8.64","H7, H7","H7.35, H7.64","Die Ermittlung der latenten Steuern umfasst auch die Steuerabgrenzungen der ertragsteuerlichen Organgesellschaften. Die
Bewertung der Latenzen sowie der innerhalb der nächsten fünf Jahre verrechenbaren steuerlichen Verlustvorträge erfolgte mit dem
unternehmensindividuellen Ertragssteuersatz von 30,52 %, der sich auf die Körperschaft- und Gewerbesteuer sowie auf den
Solidaritätszuschlag bezieht. Im Zusammenhang mit den Beteiligungen an Personengesellschaften wurde ein Ertragssteuersatz von
15,83 % zugrunde gelegt, der sich ausschließlich auf Körperschaftsteuer bezieht. Soweit sich ein aktiver latenter Steuerüberhang
ergibt, wird vom Aktivierungswahlrecht kein Gebrauch gemacht. Im Berichtsjahr ergibt sich ein Überhang aktiver Latenzen aufgrund
von aktiven temporären Differenzen, die im Wesentlichen auf die Anteile an Personenhandelsgesellschaften, die
Pensionsruckstellungen sowie auf die sonstigen Rückstellungen für langfristige Personalverpflichtungen und für
Umweltverschmutzungen der Organgesellschaften entfallen. Passive temporäre Differenzen sind dagegen unbedeutend."
7238,,None,None,Erläuterungen zur Bilanz
7239,"6, 16","H5, H17b","H5, H17b",1) Entwicklung des Anlagevermögens
7240,77,H122,H122,Die gemäß § 285 Satz 1 Nr. 11 HGB verlangten Angaben werden in einer gesonderten Anlage zu diesem Anhang gemacht.
7241,,None,None,3) Vorräte
7242,,None,None,"31.12.2015
KEUR
31.12.2016
KEUR
Hilfs- und Betriebsstoffe 40 26"
7243,,None,None,4) Forderungen und sonstige Vermögensgegenstände
7244,,None,None,"31.12.2015
KEUR
31.12.2016
KEUR
Forderungen aus Lieferungen und Leistungen 152 140
Forderungen gegen verbundene Unternehmen 144.381 184.188
Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht 12 -
Sonstige Vermögensgegenstände 1.166 795
145.711 185.123"
7245,,None,None,Alle Forderungen haben wie im Vorjahr eitle Restlaufzeit von unter einem Jahr.
7246,,None,None,"Die Forderungen gegen verbundene Unternehmen bestehen vorwiegend aus der Organschaftsabrechnung, aus Finanzierungsdarlehen
sowie zu einem geringen Teil aufgrund von Dienstleistungen. Forderungen aus Lieferungen und Leistungen bestehen im
Geschäftsjahr in Hohe von KEUR 2.248 (Vorjahr: KEUR 2.213)."
7247,,None,None,"Unter den sonstigen Vermögensgegenständen werden im Wesentlichen Steuererstattungsansprüche und sonstige kurzfristige
Forderungen ausgewiesen."
7248,,None,None,5) Flüssige Mittel
7249,,None,None,Unter den flüssigen Mitteln sind Kassenbestände und Guthaben bei Kreditinstituten erfasst.
7250,,None,None,6) Eigenkapital
7251,,None,None,Das Eigenkapital hat folgende Zusammensetzung:
7252,,None,None,"2015
KEUR
2016
KEUR
Gezeichnetes Kapital 283.666 283.666
Kapitalrücklage 582.192 582.192
Bilanzverlust (-) - 303.409 - 322.764
(davon Gewinnvortrag/Verlustvortrag (-) (-140.814) (-303.409)
562.449 543.094"
7253,,None,None,7) Pensionsähnliche Verpflichtungen
7254,"31, 37","H46, H53","H46, H53","Vermögensgegenstände, die dem Zugriff aller Gläubiger entzogen sind und ausschließlich der Erfüllung von Schulden aus
Altersversorgungsverpflichtungen oder ähnlichen vergleichbaren langfristig fälligen Verpflichtungen dienen, wurden gem. § 246 Abs.
2 Satz 2 HGB mit diesen Schulden verrechnet. Die Anschaffungskosten des Deckungsvermögens (fondsgebundene
Rückdeckungsversicherungen sowie fondsgebundene Wertpapiere) beliefen sich auf KEUR 1,706 (Vorjahr: KEUR 1.194). Der
beizulegende Zeitwert der verrechneten Vermögensgegenstände sowie der Erfüllungsbetrag der verrechneten Schulden belief sich
zum Bilanzstichtag auf KEUR 2.061 (Vorjahr: KEUR 1.532). Als beizulegender Zeitwert ist der Kurswert der Wertpapiere zum 31.
Dezember 2016 zu Grunde gelegt worden. Der Unterschiedsbetrag von KEUR 355 (Vorjahr: KEUR 338) unterliegt gem. § 268 Abs. 8
Satz 3 HGB der Ausschüttungssperre."
7255,,None,None,"Im Geschäftsjahr wurden Erträge in Höhe von KEUR 17 (Vorjahr: Verluste in Höhe von KEUR 4) aus Wertänderungen des
Wertpapiervermögens mit den zugehörigen Aufwendungen (Vorjahr: Erträgen) aus der Zuführung von Rückstellungen verrechnet."
7256,35,H51,H51,"Bei der Berechnung der Rückstellungen für Pensionsverpflichtungen wurde ein Zinssatz von 4,01% angesetzt. Bei dem Zinssatz
handelt es sich aufgrund der Neuregelung durch das Gesetz zur Umsetzung der Wohnimmobilienkredit-Richtlinie und zur Änderung
handelsrechtlicher Vorschriften um den für den Bilanzstichtag prognostizierten durchschnittlichen Marktzinssatz der vergangenen
zehn Geschäftsjahre, der sich bei einer angenommenen Restlaufzeit von 15 Jahren ergibt. Im Vorjahr wurde der von der Deutschen
Bundesbank veröffentlichte durchschnittliche Marktzinssatz der vergangenen sieben Geschäftsjahre angewendet. Unter Anwendung
des für den Bilanzstichtag prognostizierten durchschnittlichen Marktzinssatzes der vergangenen sieben Geschäftsjahre von 3,23%
würde sich im Geschäftsjahr 2016 der Erfüllungsbetrag in Hohe von EUR 177,659 ergeben. Der Unterschiedsbetrag i. S. d. § 253
Abs. 6 Satz 1 HGB beträgt im Geschäftsjahr KEUR 13.208 und unterliegt gemäß § 253 Abs. 6 Satz 2 HGB einer Ausschüttungssperre."
7257,40,H56,H56,8) Sonstige Rückstellungen
7258,,None,None,"Die sonstigen Rückstellungen umfassen im Wesentlichen Verpflichtungen gegenüber Mitarbeitern, Zinsen auf erwartete
Steuernachzahlungen und ausstehende Abrechnungen."
7259,42,H61,H61,9) Verbindlichkeiten
7260,42,H61,H61,"31.12.2016 davon Restlaufzelt
KEUR KEUR
bis zu 1 Jahr
KEUR
1 bis 5 Jahre
KEUR
über 5 Jahre
KEUR
Verbindlichkeiten aus Lieferungen
und Leistungen
74.137 47.170 25.421 21.749 -
Verbindlichkeiten gegenüber
verbundenen Unternehmen
846.062 417.690 417.690 - -
Sonstige Verbindlichkeiten 1.249 2.068 2.068 - -
-davon aus Steuern 926 1.734 1.734 - -
-davon im Rahmen der sozialen
Sicherheit
1 3 3 - -
921.448 466.928 445.179 21.749 -"
7261,42,H61,H61,"Von den Verbindlichkeiten gegenüber verbundenen Unternehmen bestehen KEUR 488 (Vorjahr: KEUR 5.064) gegenüber
Gesellschaftern, die den Lieferungen und Leistungen zuzurechnen sind. Die übrigen Verbindlichkeiten gegenüber verbundenen
Unternehmen stammen aus Organschafts- und Finanzierungsverhältnissen, Verbindlichkeiten aus Lieferungen und Leistungen
bestehen nach Verrechnung mit entsprechenden Forderungen sowohl im Geschäftsjahr als auch im Vorjahr nicht."
7262,"45, 46","H63, H65","H63, H65",10) Haftungsverhältnisse und außerbilanzielle Geschäfte
