,annotation_original,annotation_unique,annotation_unique_extra,blob
3124,,None,None,"Buchwerte
31.03.2017 31.03.2016
1. Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte
und ähnliche Rechte und Werte sowie Lizenzen an solchen
Rechten und Werten
4.051 7.540
2. Geschäfts- oder Firmenwert 34.828 5.933
3. Geleistete Anzahlungen 1.098 76
39.977 13.549
II. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich
der Bauten auf fremden Grundstücken
99.761 74.213
2. Technische Anlagen und Maschinen 87.404 77.852
3. Andere Anlagen, Betriebs- und Geschäftsausstattung 39.536 16.882
4. Geleistete Anzahlungen und Anlagen im Bau 34.832 16.036
261.533 184.983
III. Finanzanlagen
1. Anteile an verbundene Unternehmen 1 1
2. Beteiligungen 9.814 20.254
3. Sonstige Ausleihungen 1.190 791
11.005 21.046
312.515 219.578
TEUR TEUR
I. Immaterielle Vermögensgegenstände
"
3125,,None,None,"Anhang des Jahresabschlusses für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2016
der PAYBACK GmbH, München"
3126,,None,None,A. Allgemeine Vorbemerkungen
3127,8.0,H7,H7.0,"Der vorliegende Jahresabschluss wurde nach den Vorschriften des Handelsgesetzbuchs (HGB) in der Fassung des Bilanzrichtlinie-
Umsetzungsgesetzes (BilRUG) aufgestellt. Einschlägige Vorschriften des GmbH-Gesetzes (GmbHG) wurden dabei beachtet."
3128,90,H151,H151,"Die PAYBACK GmbH mit Sitz in München ist eine große Kapitalgesellschaft im Sinne von § 267 Abs. 3 HGB und ist im Handelsregister
B des Amtsgerichts München (HRB 135999) registriert."
3129,8.0,H7,H7.0,Die Darstellung der Gewinn- und Verlustrechnung erfolgt wie in den Vorjahren nach dem Gesamtkostenverfahren.
3130,1,H1b,H1b,"Die Definition der Umsatzerlöse in § 277 Abs. 1 HGB wurde durch das BilRUG erweitert, die bisherige Differenzierung zwischen
Erlösen aus der gewöhnlichen Geschäftstätigkeit und dem ""typischen Leistungsangebot"" des Unternehmens entfällt. Daraus ergeben
sich auch Auswirkungen für den Ausweis der Aufwendungen, die den Umsatzerlösen zugrunde liegen. Fremdleistungen, die als
wesentlicher Bestandteil in das Leistungsangebot des Unternehmens eingehen, das zu Umsatzerlösen führt, sind als bezogene
Leistungen innerhalb des Materialaufwands auszuweisen. Ferner ist das ""Ergebnis der gewöhnlichen Geschäftstätigkeit"" nicht mehr
gesondert ausgewiesen. Eine weitere Änderung des Gliederungsschemas der Gewinn- und Verlustrechnung ist die Einfügung eines
Zwischenergebnisses „Ergebnis nach Steuern“ zwischen dem Posten „Steuern vom Einkommen und vom Ertrag“ und dem Posten
„sonstige Steuern“."
3131,"2, 3","H2, H3","H2, H3","Zur besseren Vergleichbarkeit wurde für die Gewinn- und Verlustrechnung sowie die tabellarischen Anhangangaben zu den
Umsatzerlösen, den sonstigen betrieblichen Erträgen, dem Materialaufwand sowie den sonstigen betrieblichen Aufwendungen eine
dreispaltige Darstellung gewählt. Dabei wurden die Vorjahreszahlen an die Zahlen des Geschäftsjahrs 2016 angepasst, wie sie sich
nach dem BilRUG darstellen. Die dritte Spalte zeigt die Vorjahreszahlen, wie sie vor Anwendung der BilRUG-Vorschriften im geprüften
und mit einem uneingeschränkten Bestätigungsvermerk des Abschlussprüfers versehen Jahresabschluss 2015 abgebildet waren."
3132,,None,None,Aus rechentechnischen Gründen können in den Tabellen Rundungsdifferenzen in Höhe von +/- einer Einheit (EUR) auftreten.
3133,68,None,None,"Zwischen der PAYBACK GmbH und ihrer Muttergesellschaft, der Loyalty Partner GmbH, München, besteht ein Beherrschungs- und
Ergebnisabführungsvertrag. Die Loyalty Partner GmbH fungiert als ertragsteuerliche und umsatzsteuerlicher Organträger für die
PAYBACK GmbH."
3134,71,E38b,E38b,"Zwischen den Bilanzierungsmethoden nach deutschem Recht (HGB) und den Bilanzierungsmethoden im befreienden
Konzernabschluss (US GAAP) bestehen folgende wesentliche Abweichungen:"
3135,71,E38b,E38b,"Bilanzposition HGB US GAAP
Selbsterstellte immaterielle
Vermögensgegenstände
Aktivierungswahlrecht (für selbsterstellte
immaterielle Vermögensgegenstände des
Anlagevermögens).
Aktivierungsgebot, falls
Ansatzvoraussetzungen erfüllt;
Sonderregelungen für Forschungs- und
Entwicklungsaufwendungen
Finanzanlagen Bewertung zu Anschaffungskosten,
gegebenenfalls außerplanmäßige
Abschreibung bei Folgebewertung
Zugang zu Anschaffungskosten;
Folgebewertung zum beizulegenden
Zeitwert mit bestimmten Ausnahmen je
nach Art der Finanzanlagen
erfolgswirksame oder -neutrale Erfassung
der Wertveränderungen.
Langfristige Auftragsfertigung /
Umsatzrealisierung
Gewinnrealisierung erst nach Erfüllung
des Auftrages / Umsatzrealisierung bei
Erbringung der Leistung und
Unentziehbarkeit des Anspruchs auf die
Gegenleistung
Realisierung von Teilgewinnen nach
Auftragsfortschritt falls zuverlässige
Schätzung möglich / Umsatzrealisierung
erfolgt, sobald überzeugende Belege für
eine Verkaufsvereinbarung vorliegen, die
vereinbarte Leistung erbracht wurde, der
Preis fixiert oder bestimmbar ist und
wenn die Einbringlichkeit des Kaufpreises
relativ sicher ist.
Latente Steuern Ansatzpflicht für passive latente Steuern,
Ansatzwahlrecht für aktive latente
Steuern, sofern werthaltig. Aktive latente
Steuern auf steuerliche Verlustvorträge
dürfen nur soweit gebildet werden, als
deren Nutzung innerhalb der nächsten
fünf Geschäftsjahre erwartet werden
kann.
Ansatzpflicht für latente Steuern auf alle
temporären Differenzen zwischen den
Wertansätzen nach US GAAP und nach
Steuerrecht. Daneben sind auch aktive
latente Steuern auf steuerliche
Verlustvorträge zu bilanzieren."
3136,,None,None,B. Bilanzierungs- und Bewertungsgrundsätze
3137,8.0,H7,H7.0,Die Bilanzierungs- und Bewertungsgrundsätze sind unverändert zum Vorjahr angewendet worden.
3138,8.3,H7,H7.3,"Selbst geschaffene , immaterielle Vermögensgegenstände des Anlagenvermögenswurden nicht aktiviert (§248 Abs. 2 HGB)."
3139,"8.4, 8.7","H7, H7","H7.4, H7.7","Entgeltlich erworbene immaterielle Vermögensgegenstände und Sachanlagen werden zu Anschaffungskosten, vermindert
um planmäßige Abschreibungen angesetzt. Die Anschaffungskosten umfassen die Anschaffungspreise, Frachtkosten sowie andere
Anschaffungsnebenkosten, abzüglich etwaiger Preisminderungen."
3140,"8.4, 8.7","H7, H7","H7.4, H7.7","Den Abschreibungen liegen betriebsgewöhnliche Nutzungsdauern, welche sich aufgrund betrieblicher Anforderungen definieren,
zugrunde. Die Abschreibungen erfolgen linear, bei entgeltlich erworbenen immateriellen Vermögensgegenständen i.d.R. über 60
Monate, bei Gegenständen des Sachanlagevermögens liegt die Nutzungsdauer zwischen 36 Monaten für EDV-Einrichtungen und 156
Monaten für Büromöbel."
3141,8.7,H7,H7.7,"Vermögensgegenstände des Anlagevermögens mit einem Einzelwert bis EUR 150, die einer selbständigen Nutzung fähig sind, werden
im Jahr des Zugangs sofort als Aufwand erfasst. Zugänge mit Anschaffungskosten von EUR 150 bis EUR 410 werden im Jahr des
Zugangs vollständig abgeschrieben."
3142,8.12,H7,H7.12,"Die Finanzanlagen werden zu Anschaffungskosten bilanziert. Bei erwarteter dauerhafter Wertminderung werden diese auf den
niedrigeren beizulegenden Wert außerplanmäßig abgeschrieben. Bei Wegfall der Gründe werden Zuschreibungen bis zur Obergrenze
der historischen Anschaffungskosten der Finanzanlagen vorgenommen."
3143,8.25,H7,H7.25,"Die Forderungen und sonstigen Vermögensgegenstände werden zu ihren Nennwerten abzüglich angemessener
Wertberichtigungen angesetzt."
3144,8.25,H7,H7.25,"Allen erkennbaren Ausfallrisiken bei Forderungen und sonstigen Vermögensgegenständen ist durch angemessene Wertberichtigung
Rechnung getragen."
3145,8.27,H7,H7.27,"Die Forderungen gegen verbundene Unternehmen enthalten auch Forderungen gegen verbundene Unternehmen, welche ihre
liquiden Mittel im Rahmen des europäischen Cashpools bei der Loyalty Partner GmbH angelegt haben."
3146,8.33,H7,H7.33,Guthaben bei Kreditinstituten und Kassenbestände sind zu Nominalwerten bilanziert.
3147,8.34,H7,H7.34,"Für Ausgaben vor dem Bilanzstichtag, die Aufwand für das Folgejahr darstellen, wurden aktive Rechnungsabgrenzungsposten
gebildet."
3148,8.37,H7,H7.37,Das Eigenkapital wird zum Nennwert bilanziert.
3149,8.47,H7,H7.47,"Die Rückstellungen berücksichtigen alle erkennbaren Risiken sowie ungewisse Verbindlichkeiten der Gesellschaft und sind mit den
Erfüllungsbeträgen angesetzt, die nach vernünftiger kaufmännischer Beurteilung notwendig sind."
3150,8.51,H7,H7.51,Alle Verbindlichkeiten sind mit Erfüllungsbeträgen bewertet.
3151,8.63,H7,H7.63,"Für Einnahmen vor dem Bilanzstichtag, die Erlöse für das Folgejahr darstellen, wurden passive Rechnungsabgrenzungsposten
gebildet."
3152,"8.35, 24","H7, H30","H7.35, H30","Soweit Differenzen zwischen den handelsrechtlichen Wertansätzen von Vermögensgegenständen, Schulden sowie
Rechnungsabgrenzungsposten und deren steuerlichen Wertansätzen bestehen, die sich in späteren Geschäftsjahren voraussichtlich
abbauen, wurden für daraus resultierende Steuerentlastungen keine aktiven latente Steuern gebildet. Temporäre Differenzen
zwischen den handelsrechtlichen Wertansätzen von Vermögensgegenständen, Schulden sowie Rechnungsabgrenzungsposten und
deren steuerlichen Wertansätzen, die in späteren Geschäftsjahren zu einer Steuerbelastung führen, bestehen nicht."
3153,8.0,H7,H7.0,"Die Währungsumrechnung für Rechnungen in fremder Währung erfolgt zum Kurs des Transaktionstages. Die Folgebewertung der
Forderungen und Verbindlichkeiten erfolgt zum jeweils am Bilanzstichtag gültigen Devisenkassamittelkurs."
3154,"8.0, 59","H7, H88","H7.0, H88","Gewinne und Verluste aus der Umrechnung von Fremdwährungsgeschäften in lokale Währung werden erfolgswirksam erfasst
und in den Anhangsangaben zu den ""Sonstige betriebliche Erträge"" bzw. ""Sonstige betriebliche Aufwendungen"" gesondert
dargestellt."
3155,8.66,H7,H7.66,"Die Umsatzerlöse umfassen alle Erlöse aus dem Verkauf und der Vermietung oder Verpachtung von Produkten sowie aus der
Erbringung von Dienstleistungen nach Abzug von Erlösschmälerungen und der Umsatzsteuer sowie sonstiger direkt mit dem Umsatz
verbundener Steuern. Erlöse werden realisiert, sobald die vertraglich geschuldete Leistung im Wesentlichen erbracht worden und
deshalb der Anspruch auf die Gegenleistung unbedingt und unentziehbar entstanden ist. Steht der Anspruch noch unter einer
aufschiebenden bzw. auflösenden Bedingung, erfolgt die Erlösrealisierung erst mit dem Eintritt bzw. dem Wegfall dieser Bedingung."
3156,,None,None,C. Erläuterungen zur Bilanz
3157,"4.1, 15, 16","H3a, H17a, H17b","H3a.1, H17a, H17b",Die Entwicklung des Anlagevermögens ist dem beigefügten Anlagenspiegel zu entnehmen.
3158,4.25,H3a,H3a.25,Die Forderungen und sonstigen Vermögensgegenstände belaufen sich auf TEUR 157.079 (Vorjahr: TEUR 137.459).
3159,4.26,H3a,H3a.26,"Die Forderungen aus Lieferungen und Leistungen (TEUR 31.802; Vorjahr: TEUR 30.007) weisen eine Laufzeit von bis zu einem
Jahr auf."
3160,"4.27, 20","H3a, H19","H3a.27, H19",Die Forderungen gegen verbundene Unternehmen setzen sich wie folgt zusammen:
3161,"4.27, 20","H3a, H19","H3a.27, H19","Forderungen gegen verbundene Unternehmen
31.12.2016
TEUR
31.12.2015
TEUR
Cashpooling 78.301 59.655
Darlehen 8.389 8.677
Interne Leistungsverrechnung 8.159 7.940
- davon gegen Gesellschafter 2 4
Gesamt 94.849 76.276"
3162,4.27,H3a,H3a.27,"Die Forderungen gegen verbundene Unternehmen weisen in Höhe von TEUR 8.389 (Vorjahr TEUR 8.677) eine Laufzeit von mehr als
einem Jahr auf."
3163,"4.29, 21","H3a, H20a","H3a.29, H20a",Die sonstigen Vermögensgegenstände setzen sich wie folgt zusammen:
3164,"4.29, 21","H3a, H20a","H3a.29, H20a","Sonstige Vermögensgegenstände
31.12.2016
TEUR
31.12.2015
TEUR
Forderungen PAYBACK Rabattverein 20.616 21.545
Kautionen 4.800 4.855
Investitionszuschuss 2.738 3.738
Ausstehende Gutschriften 1.714 0
Vorauszahlungen 356 382
Ertragsteuerforderungen 12 9
Debitorische Kreditoren 0 55
Übrige 191 593
Sonstige Vermögensgegenstände
31.12.2016
TEUR
31.12.2015
TEUR
Gesamt 30.427 31.177"
3165,"4.29, 21","H3a, H20a","H3a.29, H20a","Ein wesentlicher Teil der sonstigen Forderungen resultiert aus Forderungen gegen den PAYBACK Rabattverein. Diesen Forderungen
stehen in gleicher Höhe Verbindlichkeiten aus dem PAYBACK Programm gegenüber Endkunden gegenüber, vgl. insoweit die
Ausführungen zu den Sonstigen Verbindlichkeiten."
3166,"4.29, 21","H3a, H20a","H3a.29, H20a","Die sonstigen Vermögensgegenstände weisen in Höhe von TEUR 14.410 (Vorjahr TEUR 8.538) eine Laufzeit von mehr als einem Jahr
auf. Hierbei entfallen TEUR 6.872 auf die langfristigen Forderungen gegen den PAYBACK Rabattverein, denen Verbindlichkeiten
gegenüber Endkunden mit gleicher Laufzeit gegenüberstehen."
3167,4.34,H3a,H3a.34,"Der aktive Rechnungsabgrenzungsposten beträgt TEUR 4.309 (Vorjahr TEUR 2.381) und betrifft IT-Wartung und
Marketingmaßnahmen."
3168,4.49,H3a,H3a.49,"Es besteht eine ertragsteuerliche Organschaft mit der Loyalty Partner GmbH als Organträgergesellschaft. Die Steuerrückstellungen
betreffen Aspekte aus dem Lohn- und Gehaltsbereich."
3169,"4.50, 40","H3a, H56","H3a.50, H56",In den sonstigen Rückstellungen sind folgende Posten enthalten:
3170,"4.50, 40","H3a, H56","H3a.50, H56","Rückstellung
31.12.2016
TEUR
31.12.2015
TEUR
Ausstehende Rechnungen 4.783 4.793
Bonifikationen 803 2.974
Erlösschmälerungen 767 498
Urlaub und Überstunden 292 357
Abfindungen 200 28
Berufsgenossenschaft 156 152
Abschluss und Prüfung 73 102
Übrige 156 198
Gesamt 7.230 9.102"
3171,"4.51, 42, 43","H3a, H61, H62","H3a.51, H61, H62",Die Verbindlichkeiten gliedern sich wie folgt nach Arten und Laufzeiten auf:
3172,"4.51, 42, 43","H3a, H61, H62","H3a.51, H61, H62","Verbindlichkeiten zum 31.12.2016
< 1 Jahr
TEUR
>1 Jahr
TEUR
d avon >5 Jahre
TEUR
Gesamt
TEUR
Lieferungen und Leistungen 4.832 0 0 4.832
Verbundene Unternehmen 79.653 29.332 0 108.985
- davon gegenüber Gesellschaftern 79.506 0 0 7 9.506
Sonstige 16.754 6.805 0 23.560
- davon aus Steuern 2.203 0 0 2.203
Gesamt 101.239 36.137 0 137.376
Verbindlichkeiten zum 31.12.2015
< 1 Jahr
TEUR
>1 Jahr
TEUR
d avon >5 Jahre
TEUR
Gesamt
TEUR
Erhaltene Anzahlungen 400 0 0 400
Lieferungen und Leistungen 5.726 0 0 5.726
Verbundene Unternehmen 59.199 28.273 0 87.472
- davon gegenüber Gesellschaftern 58.912 0 0 58.912
Sonstige 16.792 7.091 0 23.883
- davon aus Steuern 2.047 0 0 2.047
Gesamt 82.117 35.364 0 117.481"
3173,4.58,H3a,H3a.58,Die Verbindlichkeiten gegenüber verbundenen Unternehmen setzen sich wie folgt zusammen:
3174,4.58,H3a,H3a.58,"Verbindlichkeiten verbundene Unternehmen
31.12.2016
TEUR
31.12.2015
TEUR
Gewinnabführung 78.005 58.898
Interne Lizenzveräußerung und weiterverrechnete Entwicklungskosten 29.479 28.286
Umsatzsteuerorganschaft 1.501 242
Interne Leistungsverrechnung 0 45
Übrige 0 1
Gesamt 108.985 87.472"
3175,4.58,H3a,H3a.58,"Der im Geschäftsjahr 2014 im Rahmen einer konzerninternen Lizenzveräußerung an ein verbundenes Unternehmen vereinbarte
Kaufpreis ist vom Eintritt einer Bedingung abhängig und insoweit noch nicht erlöswirksam zu realisieren. Dasselbe gilt für die Erlöse
aus der Weiterbelastung von im Berichtsjahr angefallenen Entwicklungskosten im Zusammenhang mit der veräußerten Lizenz. Der
Ausweis für beide Sachverhalte erfolgt daher als Verbindlichkeit gegenüber verbundenen Unternehmen mit einer Laufzeit von einem
bis fünf Jahren."
3176,4.60,H3a,H3a.60,Die Sonstigen Verbindlichkeiten setzen sich wie folgt zusammen:
3177,"4.60, 4.61","H3a, H3a","H3a.60, H3a.61","Sonstige Verbindlichkeiten
31.12.2016
TEUR
31.12.2015
TEUR
PAYBACK Programm 21.275 21.659
Sonstige Verbindlichkeiten
31.12.2016
TEUR
31.12.2015
TEUR
Lohn- und Gehaltsverbindlichkeiten 2.203 2.049
davon aus Steuern 2.203 2.047
Übrige 82 175
Gesamt 23.560 23.883"
3178,4.60,H3a,H3a.60,"Die sonstigen Verbindlichkeiten bestehen im Wesentlichen aus Verbindlichkeiten aus dem PAYBACK Programm. Soweit PAYBACK
selbst PAYBACK Punkte ausgibt, stellt der PAYBACK Rabattverein die von den Endkunden erworbenen Punkte PAYBACK als dem
ausgebenden Unternehmen in Rechnung. Diesen Verbindlichkeiten stehen aufgrund von an den PAYBACK Rabattverein geleisteten
Zahlungen Forderungen gegen den PAYBACK Rabattverein in gleicher Höhe gegenüber, vgl. insoweit die Ausführungen zu den
sonstigen Vermögensgegenständen."
3179,,None,None,D. Erläuterungen zur Gewinn- und Verlustrechnung
3180,"4.66, 50","H3a, None","H3a.66, None",Die Umsatzerlöse gliedern sich wie folgt auf:
3181,"4.66, 50","H3a, None","H3a.66, None","Umsatzerlöse 20161TEUR 2015*TEUR 20152TEUR
Umsatzerlöse mit Dritten 228.669 222.614 222.614
Umsatzerlöse mit verbundenen Unternehmen 41.866 46.566 14.362
Erlösschmälerungen -5.317 -14.442 -14.442
Gesamt 265.218 254.738 222.534"
3182,"3, 4.66, 51","H3, H3a, H76","H3, H3a.66, H76","Aufgrund der erweiterten Umsatzerlösdefinition des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) werden weitere Erlöskomponenten,
die mit verbundenen Unternehmen erzielt werden, nicht mehr wie bisher unter den sonstigen betrieblichen Erträgen ausgewiesen,
sondern als Umsatzerlöse. Zur besseren Vergleichbarkeit der Vorjahreszahlen wurden diese entsprechend angepasst."
3183,"4.66, 50","H3a, None","H3a.66, None",Der überwiegende Teil der Umsatzerlöse betrifft dabei im Inland erbrachte Leistungen:
3184,"4.66, 50","H3a, None","H3a.66, None","Umsatzerlöse nach geografischen Märkten 2016*TEUR 2015*TEUR 2015**TEUR
Inland 226.763 211.330 211.232
Ausland 38.455 43.408 11.302
Gesamt 265.218 254.738 222.534"
3185,"4.66, 50","H3a, None","H3a.66, None",Die Umsatzerlöse mit Dritten stellen sich folgt dar:
3186,"4.66, 50","H3a, None","H3a.66, None","Umsatzerlöse mit Dritten 2016*TEUR 2015*TEUR 2015**TEUR
Database Marketing 88.795 81.653 81.653
Programmteilnahme 38.419 35.203 35.203
Vertragsvermittlung 31.185 45.228 45.228
Management & Service Fees 25.531 24.787 24.787
Sonstige Partnerdienstleistungen 20.167 17.352 17.352
Kartennutzung 8.420 7.590 7.590
Vertriebskooperation 6.454 0 0
Anmeldung 4.460 4.735 4.735
Teilnahmeunterlagen 1.548 2.345 2.345
Übrige 3.690 3.721 3.721
Gesamt 228.669 222.614 222.614"
3187,"4.69, 60","H3a, H89","H3a.69, H89",Die sonstigen betrieblichen Erträge setzen sich wie folgt zusammen:
3188,"4.69, 59, 60","H3a, H88, H89","H3a.69, H88, H89","Sonstige betriebliche Erträge 2016*TEUR 2015*TEUR 2015**TEUR
Verrechnete Sachbezüge Mitarbeiter 924 794 794
Auflösung von Rückstellungen 443 1.588 1.588
Wechselkursdifferenzen 30 85 85
Betriebliche Erträge mit verbundenen Unternehmen 0 0 32.204
Übrige 737 662 662
Gesamt 2.134 3.129 35.333"
3189,"3, 4.69, 51","H3, H3a, H76","H3, H3a.69, H76","Aufgrund der erweiterten Umsatzerlösdefinition des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) werden weitere Erlöskomponenten,
die mit verbundenen Unternehmen erzielt werden, nicht mehr wie bisher unter den sonstigen betrieblichen Erträgen ausgewiesen,
sondern als Umsatzerlöse. Zur besseren Vergleichbarkeit der Vorjahreszahlen wurden diese entsprechend angepasst. Die rechte
Spalte bildet informatorisch den Ausweis vor Inkrafttreten der BilRUG Vorschriften ab."
3190,"4.69, 57","H3a, H84","H3a.69, H84","In den sonstigen betrieblichen Erträgen sind periodenfremde Erträge in Höhe von TEUR 443 (Vorjahr TEUR 1.588) aus der
Auflösung von Rückstellungen enthalten."
3191,4.71,H3a,H3a.71,"Die Aufwendungen für Roh-, Hilfs- und Betriebsstoffe betreffen Aufwendungen für die Beschaffung von Anmeldeformularsets in
Höhe von TEUR 1.759 (Vorjahr TEUR 2.784). Als bezogene Leistungen werden von verbundenen Unternehmen Verwaltungs- und
Infrastrukturdienstleistungen ausgewiesen."
3192,4.70,H3a,H3a.70,"Materialaufwand 2016*TEUR 20153TEUR 20154TEUR
Aufwendungen für Roh-, Hilfs- und Betriebsstoffe 1.759 2.784 2.784
Materialaufwand 2016*TEUR 20153TEUR 20154TEUR
Aufwendungen für bezogene Leistungen 11.872 11.555 0
Gesamt 13.631 14.339 2.784"
3193,"4.66, 4.69, 1","H3a, H3a, H1b","H3a.66, H3a.69, H1b","Aufgrund der erweiterten Umsatzerlösdefinition des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) werden Erlöse, die mit
verbundenen Unternehmen erzielt werden, nicht mehr wie bisher unter den sonstigen betrieblichen Erträgen ausgewiesen, sondern
als Umsatzerlöse."
3194,"3, 4.72, 51","H3, H3a, H76","H3, H3a.72, H76","Analog dazu werden von verbundenen Unternehmen bezogene Fremdleistungen, die als wesentlicher Bestandteil in das
Leistungsangebot des Unternehmens eingehen, das zu Erlösen führt, nicht mehr als sonstige betriebliche Aufwendungen sondern als
bezogene Leistungen innerhalb des Materialaufwands ausgewiesen. Zur besseren Vergleichbarkeit der Vorjahreszahlen wurden diese
entsprechend angepasst. Die rechte Spalte bildet informatorisch den Ausweis vor Inkrafttreten der BilRUG Vorschriften ab."
3195,"4.80, 60","H3a, H89","H3a.80, H89",Die sonstigen betrieblichen Aufwendungen setzen sich wie folgt zusammen:
3196,"4.80, 59, 60","H3a, H88, H89","H3a.80, H88, H89","Sonstige betriebliche Aufwendungen 2016*TEUR 2015*TEUR 2015**TEUR
Werbung und Kommunikation 79.831 83.418 83.418
IT-Kosten 23.452 33.122 43.999
Externe Dienstleistungen 8.334 8.493 8.493
Beratung und Prüfung 3.298 3.095 3.095
Personalbetreuung 2.541 2.506 2.506
Reisekosten 1.861 2.079 2.079
Qualitätskosten 956 109 0
Telekommunikation 402 939 939
Repräsentation 191 49 49
Raumkosten 148 137 137
Beiträge, Gebühren, Spenden 148 169 169
Bürobetriebskosten 87 126 126
Wechselkursdifferenzen 55 41 41
Übrige 231 258 1.045
Gesamt 121.535 134.541 146.096"
3197,4.80,H3a,H3a.80,"Analog dazu werden von verbundenen Unternehmen bezogene Fremdleistungen, die als wesentlicher Bestandteil in das
Leistungsangebot des Unternehmens eingehen, das zu Erlösen führt, nicht mehr als sonstige betriebliche Aufwendungen sondern als
bezogene Leistungen innerhalb des Materialaufwands ausgewiesen. Zur besseren Vergleichbarkeit der Vorjahreszahlen wurden diese
entsprechend angepasst. Die rechte Spalte bildet informatorisch den Ausweis vor Inkrafttreten der BilRUG Vorschriften ab."
3198,4.73,H3a,H3a.73,Der Personalaufwand im Sinne des § 275 Abs. 2 Nr. 6 HGB (Gesamtkostenverfahren) gliedert sich wie folgt:
3199,"4.74, 4.75","H3a, H3a","H3a.74, H3a.75","Personalaufwand
2016
TEUR
2015
TEUR
Löhne und Gehälter 44.959 40.986
Soziale Abgaben und Aufwendungen für Altersversorgung 6.213 5.338
und für Unterstützung
Gesamt 51.172 46.324"
3200,"4.78, 55","H3a, H81","H3a.78, H81","In den Abschreibungen auf immaterielle Vermögensgegenstände und Sachanlagen in Höhe von TEUR 2.869 sind
außerplanmäßige Abschreibungen auf immaterielle Vermögengegenstände in Höhe von TEUR 13 und auf Sachanlagen in Höhe von
TEUR 20 enthalten."
3201,"4.85, 58","H3a, H86","H3a.85, H86","Die sonstigen Zinsen und ähnlichen Erträge beinhalten Zinsen aus verbundenen Unternehmen in Höhe von TEUR 419 (Vorjahr
TEUR 443) und setzen sich wie folgt zusammen:"
3202,"4.85, 58","H3a, H86","H3a.85, H86","Sonstige Zinsen und ähnliche Erträge
2016
TEUR
2015
TEUR
Wechselkursgewinne 685 168
Darlehenszinsen 419 443
Abzinsung langfristiger Verbindlichkeiten 0 119
Gesamt 1.104 730"
3203,4.88,H3a,H3a.88,"Die Zinsaufwendungen beinhalten Zinsen aus verbundenen Unternehmen in Höhe von TEUR 280 (Vorjahr TEUR 98) und setzen
sich wie folgt zusammen:"
3204,4.88,H3a,H3a.88,"Zinsen und ähnliche Aufwendungen
2016
TEUR
2015
TEUR
Zinsen und ähnliche Aufwendungen
2016
TEUR
2015
Wechselkursverluste 813 TE4U1R4
Cashpooling 280 98
Aufzinsung langfristiger Verbindlichkeiten 69 0
Gesamt 1.162 512"
3205,,None,None,E. Sonstige Angaben
3206,68,None,None,"Das Jahresergebnis für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2016 wird aufgrund des bestehenden Beherrschungsund
Gewinnabführungsvertrages an die Loyalty Partner GmbH, München, abgeführt. Eine entsprechende Verbindlichkeit gegenüber verbundenen Unternehmen bzw. Gesellschafter ist erfasst."
3207,"71, 75","E38b, H118","E38b, H118","Die Jahresabschlüsse der PAYBACK GmbH, München, und ihrer Tochterunternehmen werden in den Konzernabschluss der American
Express Company, New York, New York, USA, einbezogen, der nach den US-amerikanischen Rechnungslegungsvorschriften (US
GAAP) aufgestellt ist. Dieser kann bei der US Securities and Exchange Commission (SEC) unter der Commission File Number 1-7657
eingesehen werden. Dieser Abschluss ist der Konzernabschluss für den größten Kreis von Unternehmen."
3208,"71, 76","E38b, H120","E38b, H120","Darüber hinaus wird der Jahresabschluss der PAYBACK GmbH auch in den Konzernabschluss der American Express International Inc,
New York, New York, USA, einbezogen. Dieser wird beim Registre de Commerce et des Sociétés Luxembourg, unter der
Registernummer B110640 hinterlegt. Dieser Abschluss ist der Konzernabschluss für den kleinsten Kreis von Unternehmen."
3209,71,E38b,E38b,"Die PAYBACK GmbH hat aufgrund der Befreiungsvorschrift des § 292 HGB in Verbindung mit der vom Bundesministerium der Justiz
herausgegebenen unbefristeten Konzernabschlussbefreiungsverordnung darauf verzichtet, einen Konzernabschluss aufzustellen. Der
Abschluss des Konzernmutterunternehmens, der American Express Company, wird in deutscher Sprache beim Betreiber des
elektronischen Bundesanzeigers eingereicht und bekannt gemacht."
3210,46,H65,H65,Zum Bilanzstichtag bestanden folgende Haftungsverhältnisse:
3211,"46, 47","H65, None","H65, None","Am 4. April 2017 hat die Gesellschaft eine Patronatserklärung zugunsten der Loyalty Partner Polska Sp.z.o.o., Warschau, Polen,
abgegeben, durch die sich die Gesellschaft verpflichtet, den Liquiditätsbedarf dieser Tochtergesellschaft für einen Mindestzeitraum
von sechzehn Monaten ab Unterzeichnung der Patronatserklärung zu decken. Die Wahrscheinlichkeit einer Inanspruchnahme aus
dieser Patronatserklärung wird auf Grund der prognostizierten Geschäftsentwicklung als gering eingeschätzt."
3212,67,H104,H104,Zum Bilanzstichtag bestehen folgende sonstige finanzielle Verpflichtungen:
