;  Annotierung (Angabe Nummer in Anahngscheckliste)  ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Sitz der Gesellschaft
121. Mobene Verwaltungs-
GmbH
Hamburg
122. Mövenpick Raststätte
Glarnerland AG
Schweiz/Niederumen
123. Multi Tank Card B.V. Niederlande/Hoofddorp
124. Nord-West Ölleitung
GmbH
Wilhelmshaven
125. Oelwerke Jullus Schindier
GmbH
Hamburg
126. Rühl Gesellschaft m.b.H.
& Co. KG
Österreich/Wien
127. Paul Harling Mineralöle
GmbH & Co. KG
Cella
128. Petrostock SA Schweiz/Vernier
129. Raimund Mineralöl GmbH Creußen
130. Rhein-Main-Rohrleitungstransportgesellschaft
mbH
Köln-Godorf
131. Rühl Gesellschaft m.b.H.
& Co. KG
Osterreich/Wien
132. Ruhr Oel Gesellschaft mä
beschränkter Haftung
Gelsenkirchen
133. DHC Solvent Chemie Gesellschaft
mit beschränkter
Haftung
Mülheim a.d. Ruhr
134. Maatschap Europoort Terminal
Niederlande/Rotterdam
Europoort
135. N. V. Rotterdam-Rip
Njplatt:ling MaatschappiJ
Niederlande/Rotterdam
136. Nord-West Ölleitung
GmbH
Wilhelmshaven
137. Runde' Mineralölvertrieb
GmbH
Singen
138. Salzburg Fuelling GmbH Osterreich/Salzburg"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Sitz der Gesellschaft
139. SARACO SA Schweiz/Genf
140. SAPPRO SA (Socieba du
pipeline a produits petroliers
sur territoire genevois)
Schweiz/Chatelaine
141. SBB Dortmund GmbH
Dienstleistungs- und Handelsbetriebe
Dortmund
142. Società Italiana per rOleodotto
Transapino S.P.A.
Italien/Trieste
143. STDG Straßentransport
Dispositionsgesellschaft
mbH
Hamburg
144. Tankanlagen Mellingen
AG
Schweiz/Mellingen
145. Tanklager-Gesellschaft
Hannover-Langenhagen
(TGHL) GbR
Hamburg
146. Tanklagergesellschaft
Köln-Bonn (TGK) GbR
Hamburg
147. TAR - Tankanlage Rümlang
AG
Schweiz/Rümlang
148. TAU Tanklager Auhafen
AG
Schweiz/Muttenz
149. Tanklager-Gesellschaft Tegel
(TGT) GbR
Hamburg
150. Tecklenburg GmbH Harnbergen
151. Tecklenburg GmbH & Co.
Energiebedarf KG
Harnbergen
152. TGFH Tanklager-Gesellschaft
Frankfurt-Hahn
GbR
Frankfurt Hahn-Flughafen
153. TGH Tankdienst-Gesellschaft
Hamburg GbR
Hamburg"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Sitz der Gesellschaft
154. TGN Tankdienst-Gesellschaft
Nürnberg GbR
Hamburg
155. TLM Tanklager Management
GmbH
Osterreich/Linz
156. TLS Tanklager Stuttgart
GmbH
Stuttgart
157. TRaBP GbR Bochum
158. Trafineo GmbH & Co. KG Bochum
159. TRaBP GbR Bochum
160. Trafineo Limibad England/Surrey
161. Trafineo Verwaltungs-
GmbH
Bochum
162. Transalpine Ölleitung in
Österreich GmbH
Österreich/Matrei
163. TransTank GmbH Gelsenkirchen
164. Turbo Fuel Services Sachsen
(TFSS) GbR
Hamburg
165. VTA Verfahrenstechnik
und Automatisierung
GmbH
Gelsenkirchen
Nr. Tochter 1 Tochter 2 Tochter 3 EK.
in TEUR.
in 100%
BP Europa SE
1. Actomat B.V. 5.198
2. AGES Maut System
GmbH & Co. KG
10.337
3. AG ES EETS GmbH 19
4. AG ES ETS GmbH 70
5. AG ES International
GmbH & Co.KG
7.984"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 EK.
in TEUR.
in 100%
6. AGES Maut System Verwaltungs-
GmbH
67
7. AG ES RUC GmbH -80
B. AGES GTA GmbH 23
9. AGES GTC GmbH 23
10. Aircraft Fuel Supply B.V. 12.148
11. Aircraft Refuelling Company
GmbH
721
12. Ammenn GmbH 47
13. Anal Aktiengesellschaft 50
14. Aral Luxembourg S.A. 26.119
15. Aral Services Luxembourg
S.à r.l.
1.159
16. Aral Tankstellen Services
S. r.l.
1.161
17. Anal Mineralölvertrieb
GmbH
14.423
18. Anal Vertrieb GmbH 25
19. Autobahn-Betriebe GmbH 90
20. BAYERNOII. Raffineriegesellschaft
mbH
17.496
21. Beer GmbH 29
22. Beer GmbH & Co. Mineralöl-
Vertriebs-KG
128
23. BFS Berlin Fuelling Services
GbR
146
24. BGFH Betankungs-Gesellschaft
Frankfurt-Hahn
GbR
0
25. BP Gelsenkirchen GmbH 4.101"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 EK.
in TEUR.
in 100%
26. BP Holdings international
B.Y.
1.342.765
27. Air BP Albania SHA 14.721
28. Air BP Safes Romania
S.R.L
16.251
29. BP Management International
B.V.
17
30. BP Marketing Egypt LLC 7.201
31. BP Mauritius Limibad 3.914
32. BP Muturi Holdings B.V. 12.782
33. BP Nederland Holdings
B.Y.
633.327
34. Air BP Sales Romania
S.R.L
16.251
35. BP Exploracion de Venezuela
S. A.
-9.916.287
36. BP Management Netherlands
B. V.
19
37. BP RaffinaderiJ Rotterdam
B. V.
583.090
38. Castrol B. V. 17.122
39. Castrol Lubricants (CR)
s.r.o.
21.198
40. Windpark Energy Nederland
B. V.
3.785
41. BP Oil and Chemicals International
Philippinen
638
42. BP PETRONAS Acetyls
Sdn. Bhd.
58.085
43. BP Toplivnaya Kompanya
LLC
1.946"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 EK.
in TEUR.
in 100%
44. Castrol Lubricants (CR)
s.r.o.
21.198
45. Castrol Lubricants (RO)
S.R.L
8.613
46. Castrol Pakistan (Private)
Limibad
6.926
47. Castrol Slovensko s.r.o. 6.939
48. Jamaica Aircraft Refuelling
Services Limibad
1.158
49. Setra Lubricants 32.057
50. BP Lingen GmbH 502
51. bp Lubas Marketing
GmbH
2.954
52. BP Luxembourg S.A. 1.789
53. BP Capellen S.à r.l. 1.512
54. BP 011 Marketing GmbH 9.318
55. BP Olec Fanal Mineralöl
GmbH
5.642
56. BP Fuels Deutschland
GmbH
120.049
57. N.V. Rotterdam-Rijn Pijpleiding
Maatschappij
N.V.
25.539
58. Rhein-Main-Rohrleitungstransportgesellschaft
mbH
5.225
59. BP Polska Services Sp. z
o.o.
6.029
60. BP Refining & Petrochemicals
GmbH
159.775
61. BP Trade and Supply
(Germany) GmbH
3.265"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 EK.
in TEUR.
in 100%
62. Bunde-Etel-Pipelinegesellschaft
mbH & Co. KG
46.764
63. Bunde-Etel-Pipeline Verwaltungsgesellschaft
mbH
52
64. Castrol Austria GmbH 93.257
65. Castrol Hungöria Kft 3.779
66. Castrol Industrie und Service
GmbH
30
67. Conoassionaria Stalvedro
SA
231
68. CSG Convenience Service
GmbH
480
69. Düsseldorf Fuelling Servioas
(DFS) GbR
447
70. Deutsche Transalpine Oelleftung
GmbH
9.200
71. Erdöl-Lagergesellschaft
mbH
32.950
72. ELG Asset GmbH
(ELAG), Lannach
7.147
73. ELG Beteiligung GmbH
(ELBG), Lannach
149
74. Erdöl Tanklagerbetrieb
GmbH
12.456
75. eroil Mineraloel GmbH -
Diehl
695
76. Etel-Kavernenbetriebsgesellschaft
mbH & Co. KG
42.434
77. Etel-Kavernenbetriebs-
Verwaltungsgesellschaft
mbH
84"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 EK.
in TEUR.
in 100%
78. FFS Frankfurt Fuelling
Services (GmbH & Co.)
OHG
120
79. Fibil SA 761
80. Fip Verwaltungs GmbH 75
81. Flughafen Düsseldorf
Tanklager GmbH
5.691
82. Flughafen Hannover Pipelinegesellschaft
mbH &
Co. KG
25
83. Flughafen Hannover Pipeline
Verwaltungsgesellschaft
mbH
30
84. Freebees B.V. 31
85. FSH Flughafen-Schwechat-
Hydranbangesellschaft
OG
7.099
86. Gasolin GmbH 297.307
87. Geneva Fuelling Services
SA
612
88. Georg Reitberger Mineralöle
Verwaltungs GmbH
39
89. Reitberger Mineralöle
GmbH & Co. KG
826
90. GezamenliJke Tankdienst
Schiphol B.V.
319
91. GlobeFuel Systems & Services
GmbH Lt.
0
92. GVO Gebinde-Verwertungsgesellschaft
der Mineralölwirtschaft
mbH
131"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 EK.
in TEUR.
in 100%
93. Hamburg Fuelling Services
(HFS) GbR
29
94. Hamburg Tank Service
(HTS) GbR
80
95. Heinrich Flp GmbH & Co.
KG
2.551
96. Heinrich Fip Tankstellen
Betriebs GmbH
27
97. Hydranten-Betriebs OHG
Flughafen Frankfurt/Main
15.687
98. Klaus Köhn GmbH 48
99. Köhn & Plambeck GmbH
& Co. KG
29
100. Kurt Ammenn GmbH &
Co. KG
2.073
101. Langenhagen Fuelling Services
(LFS) GbR
26
102. Land Gut Wohnbau Errichlungs
GmbH
18
103. Lotos-Air BP Polska Sp. z
o.o.
4.527
104. Lully.01 SA 2.006
105. Mineralöl-Handelsgesellschaft
mbH
35
106. Mobene GmbH & Co. KG 2.000
107. Hiergeist Heizölhandel
GmbH & Co. KG
128
108. Hiergeist Verwaltungs
GmbH
26
109. COM-OII. Energie i- Service
GmbH
205"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 EK.
in TEUR.
in 100%
110. Bären Wärme Mineraloelgesellschaft
mbH
60
111. BMG Energie und Service
GmbH & Co. KG
25
112. T & M Mineralöl GmbH
& Co. KG
25
113. CETAN Logistik GmbH &
Co. KG
200
114. CETAN Logistik Verwaltungs-
GmbH
25
115. Oft GROUP Mineralölhandel
GmbH & Co. KG
25
116. Zweigle Mineralöl GmbH
& Co. KG
25
117. Mobene B.V. 18
118. Schimpfhauser & Dengler
GmbH
30
119. sd Logistik GmbH 25
120. Oel-Huff Energie GmbH
& Co. KG
25
121. Mobene Verwaltungs-
GmbH
32
122. Mövenpick Raststätte
Glarnerland AG
3.268
123. Multi Tank Card B.V. 4.219
124. Nord-West Ölleitung
GmbH
3.330
125. Oelwerke Jullus Schindier
GmbH
26
126. Rühl Gesellschaft m.b.H.
& Co. KG
-156"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 EK.
in TEUR.
in 100%
127. Paul Harling Mineralöle
GmbH & Co. KG
498
128. Petrostock SA 222
129. Raimund Mineralöl GmbH 313
130. Rhein-Main-Rohrleitungstransportgesellschaft
mbH
5.225
131. Rühl Gesellschaft m.b.H.
& Co. KG
-156
132. Ruhr Oel Gesellschaft mä
beschränkter Haftung
295.258
133. DHC Solvent Chemie Gesellschaft
mit beschränkter
Haftung
2.446
134. Maatschap Europoort Terminal
22.825
135. N. V. Rotterdam-Rip
Njplatt:ling MaatschappiJ
25.539
136. Nord-West Ölleitung
GmbH
3.330
137. Runde' Mineralölvertrieb
GmbH
541
138. Salzburg Fuelling GmbH 68
139. SARACO SA 1.972
140. SAPPRO SA (Socieba du
pipeline a produits petroliers
sur territoire genevois)
1.194
141. SBB Dortmund GmbH
Dienstleistungs- und Handelsbetriebe
8.548"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 EK.
in TEUR.
in 100%
142. Società Italiana per rOleodotto
Transapino S.P.A.
14.048
143. STDG Straßentransport
Dispositionsgesellschaft
mbH
103
144. Tankanlagen Mellingen
AG
5.551
145. Tanklager-Gesellschaft
Hannover-Langenhagen
(TGHL) GbR
1.073
146. Tanklagergesellschaft
Köln-Bonn (TGK) GbR
1.121
147. TAR - Tankanlage Rümlang
AG
3.558
148. TAU Tanklager Auhafen
AG
380
149. Tanklager-Gesellschaft Tegel
(TGT) GbR
0
150. Tecklenburg GmbH 27
151. Tecklenburg GmbH & Co.
Energiebedarf KG
563
152. TGFH Tanklager-Gesellschaft
Frankfurt-Hahn
GbR
69
153. TGH Tankdienst-Gesellschaft
Hamburg GbR
0
154. TGN Tankdienst-Gesellschaft
Nürnberg GbR
57
155. TLM Tanklager Management
GmbH
87
156. TLS Tanklager Stuttgart
GmbH
83"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 EK.
in TEUR.
in 100%
157. TRaBP GbR 0
158. Trafineo GmbH & Co. KG 1.711
159. TRaBP GbR 0
160. Trafineo Limibad 5
161. Trafineo Verwaltungs-
GmbH
25
162. Transalpine Ölleitung in
Österreich GmbH
21.827
163. TransTank GmbH 327
164. Turbo Fuel Services Sachsen
(TFSS) GbR
310
165. VTA Verfahrenstechnik
und Automatisierung
GmbH
287
Nr. Tochter 1 Tochter 2 Tochter 3 Ergebnis.
in TEUR.
in 100%
BP Europa SE
1. Actomat B.V. 833
2. AGES Maut System
GmbH & Co. KG
49.160
3. AG ES EETS GmbH EAV
4. AG ES ETS GmbH EAV
5. AG ES International
GmbH & Co.KG
39.276
6. AGES Maut System Verwaltungs-
GmbH
0
7. AG ES RUC GmbH -214
B. AGES GTA GmbH -2
9. AGES GTC GmbH -2"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Ergebnis.
in TEUR.
in 100%
10. Aircraft Fuel Supply B.V. 450
11. Aircraft Refuelling Company
GmbH
685
12. Ammenn GmbH 2
13. Anal Aktiengesellschaft EAV
14. Aral Luxembourg S.A. 15.936
15. Aral Services Luxembourg
S.à r.l.
1.145
16. Aral Tankstellen Services
S. r.l.
1.147
17. Anal Mineralölvertrieb
GmbH
EAV
18. Anal Vertrieb GmbH EAV
19. Autobahn-Betriebe GmbH 23
20. BAYERNOII. Raffineriegesellschaft
mbH
9.420
21. Beer GmbH 0
22. Beer GmbH & Co. Mineralöl-
Vertriebs-KG
141
23. BFS Berlin Fuelling Services
GbR
0
24. BGFH Betankungs-Gesellschaft
Frankfurt-Hahn
GbR
0
25. BP Gelsenkirchen GmbH EAV
26. BP Holdings international
B.Y.
16.901
27. Air BP Albania SHA 3.414
28. Air BP Safes Romania
S.R.L
4.341"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Ergebnis.
in TEUR.
in 100%
29. BP Management International
B.V.
0
30. BP Marketing Egypt LLC 556
31. BP Mauritius Limibad -533
32. BP Muturi Holdings B.V. 3.019
33. BP Nederland Holdings
B.Y.
53.174
34. Air BP Sales Romania
S.R.L
4.341
35. BP Exploracion de Venezuela
S. A.
-7.343.697
36. BP Management Netherlands
B. V.
-1
37. BP RaffinaderiJ Rotterdam
B. V.
61.346
38. Castrol B. V. 5.096
39. Castrol Lubricants (CR)
s.r.o.
1.079
40. Windpark Energy Nederland
B. V.
-67
41. BP Oil and Chemicals International
Philippinen
31
42. BP PETRONAS Acetyls
Sdn. Bhd.
7.299
43. BP Toplivnaya Kompanya
LLC
-794
44. Castrol Lubricants (CR)
s.r.o.
1.079
45. Castrol Lubricants (RO)
S.R.L
8.180"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Ergebnis.
in TEUR.
in 100%
46. Castrol Pakistan (Private)
Limibad
2.238
47. Castrol Slovensko s.r.o. 1.427
48. Jamaica Aircraft Refuelling
Services Limibad
-706
49. Setra Lubricants 16.696
50. BP Lingen GmbH EAV
51. bp Lubas Marketing
GmbH
EAV
52. BP Luxembourg S.A. 835
53. BP Capellen S.à r.l. 809
54. BP 011 Marketing GmbH EAV
55. BP Olec Fanal Mineralöl
GmbH
EAV
56. BP Fuels Deutschland
GmbH
EAV
57. N.V. Rotterdam-Rijn Pijpleiding
Maatschappij
N.V.
4.255
58. Rhein-Main-Rohrleitungstransportgesellschaft
mbH
910
59. BP Polska Services Sp. z
o.o.
911
60. BP Refining & Petrochemicals
GmbH
EAV
61. BP Trade and Supply
(Germany) GmbH
EAV
62. Bunde-Etel-Pipelinegesellschaft
mbH & Co. KG
9.010
63. Bunde-Etel-Pipeline Verwaltungsgesellschaft
mbH
-1"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Ergebnis.
in TEUR.
in 100%
64. Castrol Austria GmbH EAV
65. Castrol Hungöria Kft 1.941
66. Castrol Industrie und Service
GmbH
EAV
67. Conoassionaria Stalvedro
SA
-11
68. CSG Convenience Service
GmbH
40
69. Düsseldorf Fuelling Servioas
(DFS) GbR
0
70. Deutsche Transalpine Oelleftung
GmbH
EAV
71. Erdöl-Lagergesellschaft
mbH
26.776
72. ELG Asset GmbH
(ELAG), Lannach
1.311
73. ELG Beteiligung GmbH
(ELBG), Lannach
2
74. Erdöl Tanklagerbetrieb
GmbH
1.085
75. eroil Mineraloel GmbH -
Diehl
490
76. Etel-Kavernenbetriebsgesellschaft
mbH & Co. KG
-4.993
77. Etel-Kavernenbetriebs-
Verwaltungsgesellschaft
mbH
0
78. FFS Frankfurt Fuelling
Services (GmbH & Co.)
OHG
0
79. Fibil SA -12"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Ergebnis.
in TEUR.
in 100%
80. Fip Verwaltungs GmbH 2
81. Flughafen Düsseldorf
Tanklager GmbH
-308
82. Flughafen Hannover Pipelinegesellschaft
mbH &
Co. KG
0
83. Flughafen Hannover Pipeline
Verwaltungsgesellschaft
mbH
0
84. Freebees B.V. 0
85. FSH Flughafen-Schwechat-
Hydranbangesellschaft
OG
1.015
86. Gasolin GmbH EAV
87. Geneva Fuelling Services
SA
0
88. Georg Reitberger Mineralöle
Verwaltungs GmbH
2
89. Reitberger Mineralöle
GmbH & Co. KG
108
90. GezamenliJke Tankdienst
Schiphol B.V.
1
91. GlobeFuel Systems & Services
GmbH Lt.
-870
92. GVO Gebinde-Verwertungsgesellschaft
der Mineralölwirtschaft
mbH
109
93. Hamburg Fuelling Services
(HFS) GbR
0
94. Hamburg Tank Service
(HTS) GbR
0"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Ergebnis.
in TEUR.
in 100%
95. Heinrich Flp GmbH & Co.
KG
749
96. Heinrich Fip Tankstellen
Betriebs GmbH
2
97. Hydranten-Betriebs OHG
Flughafen Frankfurt/Main
1.336
98. Klaus Köhn GmbH 1
99. Köhn & Plambeck GmbH
& Co. KG
163
100. Kurt Ammenn GmbH &
Co. KG
188
101. Langenhagen Fuelling Services
(LFS) GbR
0
102. Land Gut Wohnbau Errichlungs
GmbH
-17
103. Lotos-Air BP Polska Sp. z
o.o.
840
104. Lully.01 SA 65
105. Mineralöl-Handelsgesellschaft
mbH
2
106. Mobene GmbH & Co. KG 7.159
107. Hiergeist Heizölhandel
GmbH & Co. KG
310
108. Hiergeist Verwaltungs
GmbH
2
109. COM-OII. Energie i- Service
GmbH
84
110. Bären Wärme Mineraloelgesellschaft
mbH
133
111. BMG Energie und Service
GmbH & Co. KG
113"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Ergebnis.
in TEUR.
in 100%
112. T & M Mineralöl GmbH
& Co. KG
209
113. CETAN Logistik GmbH &
Co. KG
67
114. CETAN Logistik Verwaltungs-
GmbH
2
115. Oft GROUP Mineralölhandel
GmbH & Co. KG
132
116. Zweigle Mineralöl GmbH
& Co. KG
4
117. Mobene B.V. 42
118. Schimpfhauser & Dengler
GmbH
364
119. sd Logistik GmbH 3
120. Oel-Huff Energie GmbH
& Co. KG
-1
121. Mobene Verwaltungs-
GmbH
-7
122. Mövenpick Raststätte
Glarnerland AG
181
123. Multi Tank Card B.V. 1.675
124. Nord-West Ölleitung
GmbH
EAV
125. Oelwerke Jullus Schindier
GmbH
EAV
126. Rühl Gesellschaft m.b.H.
& Co. KG
0
127. Paul Harling Mineralöle
GmbH & Co. KG
32
128. Petrostock SA 24
129. Raimund Mineralöl GmbH 98"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Ergebnis.
in TEUR.
in 100%
130. Rhein-Main-Rohrleitungstransportgesellschaft
mbH
910
131. Rühl Gesellschaft m.b.H.
& Co. KG
0
132. Ruhr Oel Gesellschaft mä
beschränkter Haftung
1.262
133. DHC Solvent Chemie Gesellschaft
mit beschränkter
Haftung
EAV
134. Maatschap Europoort Terminal
0
135. N. V. Rotterdam-Rip
Njplatt:ling MaatschappiJ
4.255
136. Nord-West Ölleitung
GmbH
EAV
137. Runde' Mineralölvertrieb
GmbH
62
138. Salzburg Fuelling GmbH 5
139. SARACO SA 862
140. SAPPRO SA (Socieba du
pipeline a produits petroliers
sur territoire genevois)
-4
141. SBB Dortmund GmbH
Dienstleistungs- und Handelsbetriebe
1.082
142. Società Italiana per rOleodotto
Transapino S.P.A.
2.438
143. STDG Straßentransport
Dispositionsgesellschaft
mbH
71"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Ergebnis.
in TEUR.
in 100%
144. Tankanlagen Mellingen
AG
243
145. Tanklager-Gesellschaft
Hannover-Langenhagen
(TGHL) GbR
0
146. Tanklagergesellschaft
Köln-Bonn (TGK) GbR
-298
147. TAR - Tankanlage Rümlang
AG
126
148. TAU Tanklager Auhafen
AG
16
149. Tanklager-Gesellschaft Tegel
(TGT) GbR
0
150. Tecklenburg GmbH 2
151. Tecklenburg GmbH & Co.
Energiebedarf KG
336
152. TGFH Tanklager-Gesellschaft
Frankfurt-Hahn
GbR
33
153. TGH Tankdienst-Gesellschaft
Hamburg GbR
19
154. TGN Tankdienst-Gesellschaft
Nürnberg GbR
307
155. TLM Tanklager Management
GmbH
-2
156. TLS Tanklager Stuttgart
GmbH
32
157. TRaBP GbR -2
158. Trafineo GmbH & Co. KG 525
159. TRaBP GbR -2
160. Trafineo Limibad N. A"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Ergebnis.
in TEUR.
in 100%
161. Trafineo Verwaltungs-
GmbH
-2
162. Transalpine Ölleitung in
Österreich GmbH
2.444
163. TransTank GmbH 302
164. Turbo Fuel Services Sachsen
(TFSS) GbR
0
165. VTA Verfahrenstechnik
und Automatisierung
GmbH
EAV
Nr. Tochter 1 Tochter 2 Tochter 3 Fußnote
BP Europa SE
1. Actomat B.V.
2. AGES Maut System
GmbH & Co. KG
3. AG ES EETS GmbH
4. AG ES ETS GmbH
5. AG ES International
GmbH & Co.KG
6. AGES Maut System Verwaltungs-
GmbH
7. AG ES RUC GmbH
B. AGES GTA GmbH
9. AGES GTC GmbH
10. Aircraft Fuel Supply B.V.
11. Aircraft Refuelling Company
GmbH
12. Ammenn GmbH
13. Anal Aktiengesellschaft
14. Aral Luxembourg S.A."; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Fußnote
15. Aral Services Luxembourg
S.à r.l.
16. Aral Tankstellen Services
S. r.l.
17. Anal Mineralölvertrieb
GmbH
18. Anal Vertrieb GmbH
19. Autobahn-Betriebe GmbH
20. BAYERNOII. Raffineriegesellschaft
mbH
21. Beer GmbH
22. Beer GmbH & Co. Mineralöl-
Vertriebs-KG
23. BFS Berlin Fuelling Services
GbR
24. BGFH Betankungs-Gesellschaft
Frankfurt-Hahn
GbR
25. BP Gelsenkirchen GmbH
26. BP Holdings international
B.Y.
27. Air BP Albania SHA
28. Air BP Safes Romania
S.R.L
29. BP Management International
B.V.
30. BP Marketing Egypt LLC
31. BP Mauritius Limibad
32. BP Muturi Holdings B.V.
33. BP Nederland Holdings
B.Y."; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Fußnote
34. Air BP Sales Romania
S.R.L
35. BP Exploracion de Venezuela
S. A.
36. BP Management Netherlands
B. V.
37. BP RaffinaderiJ Rotterdam
B. V.
38. Castrol B. V.
39. Castrol Lubricants (CR)
s.r.o.
1)
40. Windpark Energy Nederland
B. V.
41. BP Oil and Chemicals International
Philippinen
42. BP PETRONAS Acetyls
Sdn. Bhd.
43. BP Toplivnaya Kompanya
LLC
44. Castrol Lubricants (CR)
s.r.o.
1)
45. Castrol Lubricants (RO)
S.R.L
46. Castrol Pakistan (Private)
Limibad
47. Castrol Slovensko s.r.o.
48. Jamaica Aircraft Refuelling
Services Limibad
49. Setra Lubricants
50. BP Lingen GmbH
51. bp Lubas Marketing
GmbH
52. BP Luxembourg S.A."; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Fußnote
53. BP Capellen S.à r.l.
54. BP 011 Marketing GmbH
55. BP Olec Fanal Mineralöl
GmbH
56. BP Fuels Deutschland
GmbH
57. N.V. Rotterdam-Rijn Pijpleiding
Maatschappij
N.V.
58. Rhein-Main-Rohrleitungstransportgesellschaft
mbH
59. BP Polska Services Sp. z
o.o.
60. BP Refining & Petrochemicals
GmbH
61. BP Trade and Supply
(Germany) GmbH
62. Bunde-Etel-Pipelinegesellschaft
mbH & Co. KG
63. Bunde-Etel-Pipeline Verwaltungsgesellschaft
mbH
64. Castrol Austria GmbH
65. Castrol Hungöria Kft
66. Castrol Industrie und Service
GmbH
67. Conoassionaria Stalvedro
SA
68. CSG Convenience Service
GmbH
69. Düsseldorf Fuelling Servioas
(DFS) GbR
70. Deutsche Transalpine Oelleftung
GmbH"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
"Nr. Tochter 1 Tochter 2 Tochter 3 Fußnote
71. Erdöl-Lagergesellschaft
mbH
72. ELG Asset GmbH
(ELAG), Lannach
73. ELG Beteiligung GmbH
(ELBG), Lannach
74. Erdöl Tanklagerbetrieb
GmbH
75. eroil Mineraloel GmbH -
Diehl
76. Etel-Kavernenbetriebsgesellschaft
mbH & Co. KG
77. Etel-Kavernenbetriebs-
Verwaltungsgesellschaft
mbH
78. FFS Frankfurt Fuelling
Services (GmbH & Co.)
OHG
79. Fibil SA 1)
80. Fip Verwaltungs GmbH
81. Flughafen Düsseldorf
Tanklager GmbH
82. Flughafen Hannover Pipelinegesellschaft
mbH &
Co. KG
83. Flughafen Hannover Pipeline
Verwaltungsgesellschaft
mbH
84. Freebees B.V.
85. FSH Flughafen-Schwechat-
Hydranbangesellschaft
OG
86. Gasolin GmbH"; 94 ;2016;BP Europa SE;Jahresabschluss;EY;;
