Ab PDF S. 10; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Von den allgemeinen Betriebskosten entfallen TEUR 45.037 (Vj. TEUR 44.635) auf die TAKATA Aktiengesellschaft, TEUR 18.184 (Vj. TEUR 15.159) auf die TAKATA Romania S.R.L und TEUR 17.200 (Vj.
TEUR 22.915) auf die TAKATA Sachsen GmbH.";;2016/2017;GmbH;Konzernabschluss;EY
"Von den Verwaltungskosten entfallen TEUR 9.166 (Vj. TEUR 4.487) auf die TAKATA Europe GmbH, TEUR 6.432 (Vj. TEUR 5.204) auf die TAKATA Romania S.R.L., Rumänien sowie TEUR 5.199 (Vj.
TEUR 4.590) auf die TAKATA Aktiengesellschaft.";;2016/2017;GmbH;Konzernabschluss;EY
"Von den Vertriebsaufwendungen entfallen TEUR 8.707 (Vj. TEUR 9.740) auf die TAKATA AG, TEUR 4.605 (Vj. TEUR 5.712) auf die TAKATA Romania S.R.L., Rumänien TEUR 3.666 (Vj. TEUR 3.568)
auf die TAKATA Sachsen GmbH und TEUR 1.820 (Vj. TEUR 2.048) auf die TAKATA PlasTec GmbH.";;2016/2017;GmbH;Konzernabschluss;EY
Die Aufwendungen aus Währungskursverlusten verteilten sich folgendermaßen auf die Gesellschaften:;;2016/2017;GmbH;Konzernabschluss;EY
"2016/2017 2015/2016
TEUR TEUR
TAKATA Romania S.R.L. 8.502 4.225
TAKATA Sibiu S.R.L. 3.253 1.523
TAKATA Sachsen GmbH 1.530 2.372
Takata Safety Systems Hungary Kft. 1.529 0
TAKATA AG 802 1.195
TAKATA Parts Polska Sp. z o.o. 504 633
TAKATA Europe GmbH 385 32
TAKATA Parts s.r.o. 133 362
SCHROTH Safety Products GmbH 48 105
TAKATA PlasTec GmbH 33 20
TAKATA Ignition Systems GmbH 2 6
TAKATA Spólka z o.o. 1 20
TAKATA South Africa (Pty.) Ltd. 0 10.610
16.723 21.103";;2016/2017;GmbH;Konzernabschluss;EY
4. Außergewöhnliche Posten;;2016/2017;GmbH;Konzernabschluss;EY
"Durch den Verkauf der SCHROTH Safety Products GmbH konnten außergewöhnliche Erträge in Höhe von 38.637 TEUR vereinnahmt werden. Außergewöhnliche Aufwendungen kamen zum 31. März 2017
nicht zustande.";;2016/2017;GmbH;Konzernabschluss;EY
5. Steuern vom Einkommen und vom Ertrag; 56   ;2016/2017;GmbH;Konzernabschluss;EY
"Von den Steuern vom Einkommen und Ertrag in Höhe von TEUR 6.662 (bei TEUR 5.570 Erträgen aus aktiven latenten Steuern) entfallen TEUR 8.650 (Vj. TEUR 9.415) auf Aufwendungen für Steuerzahlungen
und Steuerrückstellungen, davon TEUR 6.350 bei der TAKATA Romania S.R.L., Rumänien TEUR 921 bei der TAKATA Sibiu S.R.L., Rumänien TEUR 824 bei der TAKATA Parts s.r.o. und TEUR 316 bei
der TAKATA Aktiengesellschaft."; 56   ;2016/2017;GmbH;Konzernabschluss;EY
Bei der deutschen Organschaft unterliegen die Geschäftsjahre 2011 bis 2015 noch dem Vorbehalt der Nachprüfung. Die Veranlagung der Geschäftsjahre 2016 und 2017 erfolgt in 2018.;;2016/2017;GmbH;Konzernabschluss;EY
TEUR 1.988 (Vj. TEUR 279) entfallen auf Erträge aus der Veränderung der latenten Steuern.; 56   ;2016/2017;GmbH;Konzernabschluss;EY
III. Konzern-Kapitalflussrechnung;;2016/2017;GmbH;Konzernabschluss;EY
"Der Finanzmittelfonds beinhaltet Kassenbestände, Bankguthaben sowie Verbindlichkeiten gegenüber Kreditinstituten, die jederzeit fällig sind. Der Gesamtbestand an Verbindlichkeiten gegenüber Kreditinstituten
beträgt TEUR 136.000 (Vj. TEUR 136.000). Sämtliche Verbindlichkeiten gegenüber Kreditinstituten haben eine Laufzeit von maximal drei Monaten. Zudem wird eine Abgrenzung für Zinsaufwand in Höhe
von TEUR 21 abgebildet.";;2016/2017;GmbH;Konzernabschluss;EY
"Im Geschäftsjahr 2016/2017 wurden Ertragsteuern in Höhe von TEUR 7.677 (Vj. TEUR 21.143) und Zinsen in Höhe von TEUR 4.476 (Vj. TEUR 5.774) gezahlt sowie Zinserstattungen in Höhe von TEUR 4.148
(Vj. TEUR 119) vereinnahmt. Steuererstattungen wurden in Höhe von TEUR 1.803 vereinnahmt (Vj. TEUR 0).";;2016/2017;GmbH;Konzernabschluss;EY
"Im Inland wurde schwerpunktmäßig in die Fertigungsanlagen der Daimler V4 Produktionsanlage am Standort Aschaffenburg investiert. Außerdem wurden Test- und Messanlagen an den Standorten Berlin und
Ulm angeschafft. Auch in den Aufbau der Product Safety Group Europe flossen hohe Investitionen.";;2016/2017;GmbH;Konzernabschluss;EY
Die Investitionen im Ausland betrafen im Wesentlichen den Ausbau bestehender und den Aufbau zusätzlicher Produktionslinien an den Standorten Miskolc (Ungarn) und Arad (Rumänien).;;2016/2017;GmbH;Konzernabschluss;EY
E. Sonstige Angaben;;2016/2017;GmbH;Konzernabschluss;EY
I. Durchschnittliche Zahl der Arbeitnehmer;;2016/2017;GmbH;Konzernabschluss;EY
"2016/2017 2015/2016
Gewerbliche Arbeitnehmer 9.639 9.255
Angestellte 3.933 2.731
13.572 11.986
Auszubildende 409 442";;2016/2017;GmbH;Konzernabschluss;EY
II. Angaben zur Geschäftsführung und zum Aufsichtsrat;;2016/2017;GmbH;Konzernabschluss;EY
1. Organvergütung; 77   ;2016/2017;GmbH;Konzernabschluss;EY
"Die Bezüge der aktiven Geschäftsführung der Muttergesellschaft für die Wahrnehmung ihrer Aufgaben im Mutterunternehmen und den Tochterunternehmen betrugen im Geschäftsjahr TEUR 1.626.
Die Bezüge des Aufsichtsrats der Muttergesellschaft für die Wahrnehmung seiner Aufgaben im Mutterunternehmen und den Tochterunternehmen beliefen sich auf TEUR 139.
Bezüglich der Angaben der Gesamtbezüge früherer Mitglieder der Geschäftsführung wird von § 286 Abs. 4 HGB Gebrauch gemacht und auf die Angaben verzichtet."; 77   ;2016/2017;GmbH;Konzernabschluss;EY
2. Geschäftsführer;;2016/2017;GmbH;Konzernabschluss;EY
"Yoshihiko Tanaka, Managing Director der TAKATA Europe GmbH und CEO der TAKATA AG, Frankfurt am Main (bis 31. Januar 2017)
Claus Rudolf, Managing Director der TAKATA Europe GmbH und COO der TAKATA AG, Aschaffenburg (bis 31. Januar 2017)
Yoichiro Nomura, Managing Director, Executive Officer & CFO der Takata Corporation und Managing Director der TAKATA Europe GmbH, Chiba/Japan (seit 18. Januar 2017)
Tsutomu Yoshida, Executive Director & Member of the Board der Takata Corporation und Managing Director der TAKATA Europe GmbH, Tokio/Japan (seit 17. Januar 2017)
Stephen Kimmich, Managing Director der TAKATA Europe GmbH und CFO der TAKATA AG, Großwallstadt.";;2016/2017;GmbH;Konzernabschluss;EY
3. Mitglieder des Aufsichtsrats;;2016/2017;GmbH;Konzernabschluss;EY
"Dr. Hanns Arno Magold, Kelkheim, Rechtsassessor, Vorsitzender
Norbert Elbert, Aschaffenburg1), Betriebsratsvorsitzender TAKATA AG
Elmar Englert, Aschaffenburg1), Betriebsschlosser, freigestellter Betriebsrat TAKATA AG
Jens-Jean Berger, Mainz1), Gewerkschaftssekretär IG Metall Vorstand Frankfurt
Professor Dr. Leonard van Gunsteren, Noordwijk, Niederlande, Universitätsprofessor
Ernst Löffelmann, Schollbrunn1), Corporate Senior Manager Human Resources TAKATA AG
László Otto Mitre, Petershagen1), Entwicklungsingenieur Design
Percy Scheidler, Lohr am Main1), 1. Bevollmächtigter IG-Metall Aschaffenburg
Satoshi Seita, Yokohama-shi, Kanagawa, Japan,
Executive Vice President Global Legal Takata Corporation, Tokio, Japan
Hiroshi Shimizu, Otsu-City, Shiga, Japan,
Executive Vice President Quality Assurance Takata Corporation, Tokio, Japan
Mamoru Suda, Yokohama-shi, Kanagawa, Japan, Senior Vice President Operations, Takata Corporation, Tokio, Japan
Shigehisa Takada, Tokio, Japan, Chairman & CEO Takata Corporation, Tokio, Japan (seit 18. Januar 2017)
Yoichiro Nomura, Chiba, Japan, Managing Director, Executive Officer & CFO Takata Corporation, Tokio, Japan (bis 18. Januar 2017)
1) Von den Arbeitnehmern gewählt";;2016/2017;GmbH;Konzernabschluss;EY
III. Abschlussprüferhonorar;;2016/2017;GmbH;Konzernabschluss;EY
Das für das Geschäftsjahr berechnete Gesamthonorar des Abschlussprüfers des Konzerns umfasst im Geschäftsjahr folgende Leistungskategorien:; 65   ;2016/2017;GmbH;Konzernabschluss;EY
"2016/2017 2015/2016
TEUR TEUR
Abschlussprüfungsleistungen 631 593
Steuerberatungsleistungen 587 563
Sonstige Leistungen 247 142
1.465 1.298"; 65   ;2016/2017;GmbH;Konzernabschluss;EY
IV. Derivative Finanzinstrumente;;2016/2017;GmbH;Konzernabschluss;EY
"Zum Bilanzstichtag waren bei keiner der Konzerngesellschaften derivative Finanz-instrumente abgeschlossen, dementsprechend wurde keine Rückstellung für drohende Verluste aus schwebenden Geschäften
gebildet (Vj. TEUR 128).";;2016/2017;GmbH;Konzernabschluss;EY
V. Inanspruchnahme der Befreiungsvorschrift § 264 Abs. 3 HGB;;2016/2017;GmbH;Konzernabschluss;EY
"Hinsichtlich Prüfung und Offenlegung des Jahresabschlusses und des Lageberichts für das Geschäftsjahr vom 1. April 2016 bis zum 31. März 2017 der TAKATA AG, der TAKATA PlasTec GmbH, der TAKATA
Sachsen GmbH, und der TAKATA Ignition Systems GmbH wird die Befreiungsvorschrift gem. § 264 Abs. 3 HGB in Anspruch genommen.";;2016/2017;GmbH;Konzernabschluss;EY
VI. Angaben zum Beteiligungsbesitz § 313 Abs. 2 Nr. 7 HGB; 72   ;2016/2017;GmbH;Konzernabschluss;EY
"Der Konzernabschluss der Takata Corporation mit Sitz in Tokio, Japan, stellt den größten Kreis der TAKATA Unternehmen dar und schließt die zum 31. März 2017 in den TAKATA Europe Konzern eingehenden
Tochtergesellschaften mit ein. Der Konzernabschluss vom größten Konsolidierungskreis ist am Sitz der Takata Corporation, Tokio, Japan, erhältlich."; 66, 72 ;2016/2017;GmbH;Konzernabschluss;EY
VII. Angaben zur Ergebnisverwendung § 314 Abs. 1 Nr. 26 HGB; 63   ;2016/2017;GmbH;Konzernabschluss;EY
Der handelsrechtliche Jahresüberschuss des Mutterunternehmens betrug zum 31. März 2017 TEUR 30.720 und wird voraussichtlich auf neue Rechnung vorgetragen.; 63   ;2016/2017;GmbH;Konzernabschluss;EY
VIII. Nachtragsbericht; 64   ;2016/2017;GmbH;Konzernabschluss;EY
Die im nachfolgenden Abschnitt dargestellten wertbegründenden Vorgänge sind nach Schluss des Berichtszeitraums eingetreten.; 64   ;2016/2017;GmbH;Konzernabschluss;EY
"In den vergangenen Jahren ist es in den Vereinigten Staaten von Amerika (USA) sowie weiteren Ländern mit vorwiegend feuchttropischem Klima zu vereinzelten Vorfällen mit bestimmten von der TAKATA
Gruppe hergestellten Airbag-Gasgeneratoren gekommen, bei denen phasen-stabilisiertes Ammoniumnitrat als Haupttreibsatz verwendet wurde. Infolge dieser Ereignisse haben Automobilhersteller (OEMs) in
den USA und weiteren Ländern umfangreiche Feldaktionen initiiert, wodurch ihnen erhebliche Kosten entstanden sind. Die Typen von Gasgeneratoren, die Gegenstand von Rückrufen durch die OEMs geworden
sind, werden von der TAKATA Gruppe zwei verschiedenen Kategorien zugeordnet, die als „Alpha“ und „Beta“ bezeichnet werden. Die Gruppe der Alpha-Fälle umfasst Gasgeneratoren, für die die TAKATA
Gruppe in der Vergangenheit bereits bestimmte Fertigungsfehler eingeräumt und daher auch Kostenerstattungen an betroffene OEMs geleistet hat. Die Gruppe der Beta-Fälle beinhaltet Gasgeneratoren, für die die
US-amerikanische Verkehrssicherheitsbehörde den Rückruf durch die OEMs in den USA veranlasst hat. Die Fehlerursache konnte bei diesen Generatoren noch nicht eindeutig identifiziert werden. Die TAKATA
Gruppe hat hinsichtlich der Beta-Fälle dementsprechend gegenüber den OEMs keine Herstellungs- oder Entwicklungsfehler und daher auch keine Haftung gegenüber den OEMs anerkannt."; 64   ;2016/2017;GmbH;Konzernabschluss;EY
"Angesichts der finanziellen Risiken einer Inanspruchnahme durch die OEMs hat die Takata Corporation, Japan bereits im Januar 2016 einen globalen holistischen Restrukturierungsprozess für die TAKATA
Gruppe initiiert, in den alle wesentlichen Stakeholder (insbesondere die OEMs und die Banken) involviert sind. Als Teil dieses Prozesses hat der Verwaltungsrat der Takata Corporation, Japan im Februar 2016
ein sog. Steering Committee eingesetzt. Das Steering Committee ist ein Gremium aus fünf japanischen Beratern der Takata Corporation, Japan, das als unabhängiges und nicht weisungsgebundenes Organ mit der
Erarbeitung eines Restrukturierungskonzepts für die gesamte TAKATA Gruppe, einschließlich der Gesellschaften der TAKATA Europe Gruppe, beauftragt wurde."; 64   ;2016/2017;GmbH;Konzernabschluss;EY
"Am 26. Juni 2017 haben die Obergesellschaft der TAKATA Gruppe, die Takata Corporation, Japan, und weitere Gesellschaften der TAKATA Gruppe in Japan und den USA (u.a. auch die TK Holdings, Inc., USA)
Anträge auf Einleitung gerichtlicher Restrukturierungsverfahren gestellt. In Japan wurden Verfahren nach dem Civil Rehabilitation Act eingeleitet, in den USA Verfahren nach Chapter 11 des Bankruptcy Code."; 64   ;2016/2017;GmbH;Konzernabschluss;EY
"Während des Restrukturierungsprozesses haben einzelne OEMs wegen Alpha-Fällen Rechnungen an die TAKATA Sachsen GmbH gestellt. Nach einer entsprechenden Aufforderung durch das Steering Committee
haben die OEMs die in Rechnung gestellten Beträge jedoch nicht eingefordert, um den Restrukturierungsprozess nicht zu gefährden. Diese Forderungen belaufen sich zum Bilanzstichtag auf insgesamt EUR
46,9 Mio. und wurden der TK Holdings, Inc., USA weiterbelastet, aber noch nicht eingefordert. Infolge der Einleitung des Insolvenzverfahrens der TK Holdings, Inc., USA können wir jedoch im Falle einer
Geltendmachung dieser Forderungen der OEMs gegenüber der TAKATA Sachsen GmbH nicht mehr mit einer entsprechenden Erstattung durch die TK Holdings, Inc., USA rechnen."; 64   ;2016/2017;GmbH;Konzernabschluss;EY
"Nach Einleitung der Verfahren in Japan und den USA für bestimmte japanische und amerikanische Gesellschaften der TAKATA Gruppe ist es derzeit wahrscheinlich, dass im Wege von Verhandlungen gegenüber
der TK Holdings, Inc., USA mit bestehenden fälligen Forderungen in Höhe von EUR 5,6 Mio. zum Großteil aufgerechnet werden kann (EUR 4,9 Mio. Aufrechnungspotential). Darüber hinaus bestehen gegenüber
der TK Holdings, Inc., USA nicht-fällige Forderungen in Höhe von EUR 3,2 Mio. Gegenüber der Takata Corporation, Japan bestehen zum 26. Juni 2017 Gesamtforderungen in Höhe von EUR 0,6 Mio. Auch
hierbei ist es wahrscheinlich, dass gegenüber der Takata Corporation, Japan Forderungen aufgerechnet werden können (Aufrechnungspotential EUR 0,1 Mio.). Die voraussichtlichen Abwertungen von Forderungen
gegenüber japanischen und amerikanischen Gesellschaften der TAKATA Gruppe, für die Insolvenzverfahren eingeleitet wurden, würden sich somit voraussichtlich im Verhältnis TK Holdings, Inc., USA auf EUR
3,9 Mio. und im Verhältnis zu Takata Corporation, Japan auf EUR 0,5 Mio. belaufen."; 64   ;2016/2017;GmbH;Konzernabschluss;EY
"In den USA gab es strafrechtliche Ermittlungen des US-amerikanischen Justiz-ministeriums (Department of Justice, DoJ) gegen die Takata Corporation, Japan und ihre Tochtergesellschaften und verbundene
Unternehmen in den USA wegen bewusst unrichtiger bzw. unzureichender Informationen über vorliegende Erkenntnisse bezüglich der Gefährlichkeit bestimmter Gasgeneratoren. Die Takata Corporation, Japan
hat am 13. Januar 2017 mit dem DoJ eine Vergleichsvereinbarung (Plea Agreement) treffen können. Nach derzeitigem Stand der Verhandlungen sollen die OEMs zur Abgeltung ihrer Forderungen wegen der
Rückrufe Zahlungen aus den Mitteln des unter dem Plea Agreement aufgelegten Entschädigungsfonds (DoJ Fonds) erhalten, der von der TAKATA Gruppe für diese Zwecke mit USD 850 Mio. auszustatten ist."; 64   ;2016/2017;GmbH;Konzernabschluss;EY
"Auch bestimmte operative Gesellschaften der TAKATA Europe Gruppe, insbesondere die TAKATA Aktiengesellschaft und die TAKATA Sachsen GmbH, sollen nach dem aktuellen Stand der Verhandlungen einen
Beitrag zur Finanzierung des DoJ Fonds leisten. Zum gegenwärtigen Zeitpunkt können wir allerdings noch nicht absehen, in welcher konkreten Höhe ein solcher Beitrag zu leisten sein wird. Da die Verhandlungen
des OEM Settlement Agreements noch andauern, existieren noch keine belastbaren Erkenntnisse, die zu einer vorläufigen (Gesamt-)Bezifferung der Zahlungs-verpflichtungen oder zu einer konkreten Allokation
auf die einzelnen Gesellschaften der TAKATA Europe Gruppe beitragen könnten."; 64   ;2016/2017;GmbH;Konzernabschluss;EY
"Nach gegenwärtiger Einschätzung der Geschäftsführung wird der finanzielle (Gesamt-) Beitrag der betroffenen Gesellschaften der TAKATA Europe Gruppe mindestens der Summe der Ansprüche der OEMs wegen
der Alpha-Fälle entsprechen (EUR 46,9 Mio. zum Bilanzstichtag). Ferner ist nach derzeitiger Einschätzung nicht auszuschließen, dass sich der (Gesamt-)Beitrag der betroffenen Gesellschaften der TAKATA Europe
Gruppe zu den insgesamt an den DoJ Fonds zu leistenden Zahlungen in Höhe von USD 850 Mio. an dem Verhältnis der von den betroffenen Gesellschaften der TAKATA Europe Gruppe ausgelieferten Einheiten der
Airbag-Gasgeneratoren der Alpha- und Beta-Population zu den insgesamt, d.h. weltweit von verschiedenen Gesellschaften der TAKATA Gruppe, ausgelieferten Einheiten dieser Airbag-Gasgeneratoren orientieren
wird. Diese Zahlungen würden sich nach heutigem Kenntnisstand demnach auf EUR 113,5 Mio. belaufen. Aus unserer Sicht ist davon auszugehen, dass die Mittel für die Beiträge der Gesellschaften der TAKATA
Europe Gruppe aus dem vom Investor gezahlten Kaufpreis entnommen werden können, der auf diese Gesellschaften allokiert wird. Die Erlöse aus dem Verkauf der TAKATA Europe Gruppe werden gegebenenfalls
auch für sonstige Zwecke (wie z.B. für die Auflösung gruppeninterner Finanzierungen oder für nach Closing fortzusetzende Geschäftsaktivitäten) eingesetzt."; 64   ;2016/2017;GmbH;Konzernabschluss;EY
IX. Geschäfte mit nahestehenden Unternehmen und Personen; 75   ;2016/2017;GmbH;Konzernabschluss;EY
Im Geschäftsjahr gab es keine nicht zu marktüblichen Bedingungen zustande gekommenen Geschäfte mit nahestehenden Unternehmen und Personen, die gemäß § 314 Nr. 13 HGB im Anhang anzugeben wären.; 75   ;2016/2017;GmbH;Konzernabschluss;EY
Aschaffenburg, 1. September 2017;;2016/2017;GmbH;Konzernabschluss;EY
"TAKATA Europe GmbH
Die Geschäftsführer
Yoichiro Nomura
Tsutomu Yoshida
Stephen Kimmich";;2016/2017;GmbH;Konzernabschluss;EY
Entwicklung des Konzernanlagevermögens zum 31. März 2017;;2016/2017;GmbH;Konzernabschluss;EY
"Anschaffungs- und Herstellungskosten
01.04.2016 Währungsänderung Zugänge Umbuchungen Abgänge
Konzern-.
kreis-.
veränderung 31.03.2017
TEUR TEUR TEUR TEUR TEUR TEUR TEUR
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene
Konzessionen,
gewerbliche Schutzrechte
und ähnliche
Rechte und Werte sowie
Lizenzen an solchen
Rechten und
Werten
42.606 2 1.428 91 158 -3.426 40.543
2. Geschäfts- oder Firmenwert
8.835 0 38.698 0 0 -8.835 38.698
3. Geleistete Anzahlungen
76 0 883 -76 37 252 1.098
51.517 2 41.009 15 195 -12.009 80.339
II. Sachanlagen
1. Grundstücke,
grundstücksgleiche
Rechte und Bauten
einschließlich der
Bauten auf fremden
Grundstücken
172.708 26 2.150 111 113 28.251 203.133
2. Technische Anlagen
und Maschinen
325.004 474 25.517 4.111 10.825 9.640 353.921
3. Andere Anlagen,
Betriebs- und Geschäftsausstattung
92.790 45 10.534 1.980 3.356 18.402 120.395
4. Geleistete Anzahlungen
und Anlagen
im Bau
16.036 0 7.251 -6.217 5.926 23.721 34.865
606.538 545 45.452 -15 20.220 80.014 712.314
III. Finanzanlagen
1. Anteile an verbundene
Unternehmen
1 0 0 0 0 0 1
2. Beteiligungen 20.443 0 0 0 0 0 20.443
3. Sonstige Ausleihungen
791 0 26 0 177 550 1.190
21.235 0 26 0 177 550 21.634
679.290 547 86.487 0 20.592 68.555 814.287";;2016/2017;GmbH;Konzernabschluss;EY
"Kumulierte Abschreibungen
01.04.2016 Währungsänderung Zugänge Umbuchungen Abgänge
Konzern-.
kreis-.
veränderung 31.03.2017
TEUR TEUR TEUR TEUR TEUR TEUR TEUR
I. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene
Konzessionen,
gewerbliche Schutzrechte
und ähnliche
Rechte und Werte sowie
Lizenzen an solchen
Rechten und
Werten
35.066 2 2.547 0 158 -965 36.492
2. Geschäfts- oder Firmenwert
2.902 0 5.562 0 0 -4.594 3.870
3. Geleistete Anzahlungen
0 0 0 0 0 0 0
37.968 2 8.109 0 158 -5.559 40.362
II. Sachanlagen
1. Grundstücke,
grundstücksgleiche
Rechte und Bauten
einschließlich der
Bauten auf fremden
Grundstücken
98.495 1 5.068 -9 110 -73 103.372
2. Technische Anlagen
und Maschinen
247.152 363 28.248 194 9.170 -270 266.517
3. Andere Anlagen,
Betriebs- und Geschäftsausstattung
75.908 64 9.520 -185 3.251 -1.197 80.859
4. Geleistete Anzahlungen
und Anlagen
im Bau
0 0 33 0 0 0 33
421.555 428 42.869 0 12.531 -1.540 450.781
III. Finanzanlagen
1. Anteile an verbundene
Unternehmen
0 0 0 0 0 0 0
2. Beteiligungen 189 0 10.440 0 0 0 10.629
3. Sonstige Ausleihungen
0 0 0 0 0 0 0
189 0 10.440 0 0 0 10.629
459.712 430 61.418 0 12.689 -7.099 501.772";;2016/2017;GmbH;Konzernabschluss;EY
"Buchwerte
31.03.2017 31.03.2016
1. Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte
und ähnliche Rechte und Werte sowie Lizenzen an solchen
Rechten und Werten
4.051 7.540
2. Geschäfts- oder Firmenwert 34.828 5.933
3. Geleistete Anzahlungen 1.098 76
39.977 13.549
II. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich
der Bauten auf fremden Grundstücken
99.761 74.213
2. Technische Anlagen und Maschinen 87.404 77.852
3. Andere Anlagen, Betriebs- und Geschäftsausstattung 39.536 16.882
4. Geleistete Anzahlungen und Anlagen im Bau 34.832 16.036
261.533 184.983
III. Finanzanlagen
1. Anteile an verbundene Unternehmen 1 1
2. Beteiligungen 9.814 20.254
3. Sonstige Ausleihungen 1.190 791
11.005 21.046
312.515 219.578
TEUR TEUR
I. Immaterielle Vermögensgegenstände
";;2016/2017;GmbH;Konzernabschluss;EY
