Ab S. 42; Annotierung (Angabe Nummer in Anahngscheckliste) ;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
2. Grund der Mitteilung; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"X Erwerb/Ver„uáerung von Aktien mit Stimmrechten
Erwerb/Ver„uáerung von Instrumenten
nderung der Gesamtzahl der Stimmrechte
Sonstiger Grund: Konzernbestandsmitteilung"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
3. Angaben zum Mitteilungspflichtigen; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Name: Registrierter Sitz und Staat:
Allianz SE Frankfurt am Main, Deutschland"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
4. Namen der Aktion„re; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
mit 3% oder mehr Stimmrechten, wenn abweichend von 3.; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
5. Datum der Schwellenberhrung; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
42874; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
6. Gesamtstimmrechtsanteile; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Anteil Stimmrechte (Summe
7.a.)
Anteil Instrumente (Summe
7.b.1.+ 7.b.2.)
Summe Anteile (Summe
7.a. + 7.b.) Gesamtzahl Stimmrechte
neu 2,86% 0,00% 2,86% 13300000
letzte Mitteilung 9,77% 0,00% 9,77% /"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
7. Einzelheiten zu den Stimmrechtsbest„nden; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
a. Stimmrechte (õõ 21, 22 WpHG); 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"ISIN absolut in %
direkt (õ 21 WpHG) zugerechnet (õ 22 WpHG) direkt (õ 21 WpHG) zugerechnet (õ 22 WpHG)
DE000A1X3YY0 0 380000 0,00% 2,86%
Summe 380000 2,86%"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
b.1. Instrumente i.S.d. õ 25 Abs. 1 Nr. 1 WpHG; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Art des Instruments F„lligkeit / Verfall
Ausbungszeitraum /
Laufzeit Stimmrechte absolut
Stimmrechte.
in %
%
Summe %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
b.2. Instrumente i.S.d. õ 25 Abs. 1 Nr. 2 WpHG; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Art des Instruments F„lligkeit / Verfall
Ausbungszeitraum /
Laufzeit
Barausgleich oder physische
Abwicklung Stimmrechte absolut
Stimmrechte.
in %
%
Summe %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
8. Informationen in Bezug auf den Mitteilungspflichtigen; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Mitteilungspflichtiger (3.) wird weder beherrscht noch beherrscht Mitteilungspflichtiger andere
Unternehmen mit melderelevanten Stimmrechten des Emittenten (1.).
X Vollst„ndige Kette der Tochterunternehmen beginnend mit der obersten beherrschenden Person
oder dem oberstem beherrschenden Unternehmen:
Unternehmen
Stimmrechte in %, wenn
3% oder h”her
Instrumente in %, wenn
5% oder h”her
Summe in %, wenn 5%
oder h”her
Allianz SE % % %
Allianz Asset Management AG % % %
Allianz Global Investors GmbH % % %
Allianz SE % % %
Allianz Deutschland AG % % %
Allianz Lebensversicherungs-AG % % %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
9. Bei Vollmacht gem„á õ 22 Abs. 3 WpHG (nur m”glich bei einer Zurechnung nach õ 22 Abs. 1 Satz 1 Nr. 6 WpHG); 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Datum der Hauptversammlung:
Gesamtstimmrechtsanteil nach der Hauptversammlung: % (entspricht Stimmrechten)"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Stimmrechtsmitteilung vom 24.05.2017 (Korrektur); 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
1. Angaben zum Emittenten; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Bastei Lbbe AG
Schanzenstraáe 6 - 20
51063 K”ln
Deutschland"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
2. Grund der Mitteilung; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"X Erwerb/Ver„uáerung von Aktien mit Stimmrechten
Erwerb/Ver„uáerung von Instrumenten
nderung der Gesamtzahl der Stimmrechte
Sonstiger Grund: Konzernbestandsmitteilung"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
3. Angaben zum Mitteilungspflichtigen; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Name: Registrierter Sitz und Staat:
Herr Joachim Schmitt"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
4. Namen der Aktion„re; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
mit 3% oder mehr Stimmrechten, wenn abweichend von 3.; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
5. Datum der Schwellenberhrung; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
42874; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
6. Gesamtstimmrechtsanteile; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Anteil Stimmrechte (Summe
7.a.)
Anteil Instrumente (Summe
7.b.1.+ 7.b.2.)
Summe Anteile (Summe
7.a. + 7.b.) Gesamtzahl Stimmrechte
neu 3,73% 0,00% 3,73% 13300000
letzte Mitteilung n/a% n/a% n/a% /"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
7. Einzelheiten zu den Stimmrechtsbest„nden; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
a. Stimmrechte (õõ 21, 22 WpHG); 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"ISIN absolut in %
direkt (õ 21 WpHG) zugerechnet (õ 22 WpHG) direkt (õ 21 WpHG) zugerechnet (õ 22 WpHG)
DE000A1X3YY0 2500 494249 0,02% 3,71%
Summe 496749 3,73%"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
b.1. Instrumente i.S.d. õ 25 Abs. 1 Nr. 1 WpHG; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Art des Instruments F„lligkeit / Verfall
Ausbungszeitraum /
Laufzeit Stimmrechte absolut
Stimmrechte.
in %
%
Summe %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
b.2. Instrumente i.S.d. õ 25 Abs. 1 Nr. 2 WpHG; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Art des Instruments F„lligkeit / Verfall
Ausbungszeitraum /
Laufzeit
Barausgleich oder physische
Abwicklung Stimmrechte absolut
Stimmrechte.
in %
%
Summe %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
8. Informationen in Bezug auf den Mitteilungspflichtigen; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"dere
Unternehmen mit melderelevanten Stimmrechten des Emittenten (1.).
X Vollst„ndige Kette der Tochterunternehmen beginnend mit der obersten beherrschenden Person
oder dem oberstem beherrschenden Unternehmen:
Unternehmen
Stimmrechte in %, wenn
3% oder h”her
Instrumente in %, wenn
5% oder h”her
Summe in %, wenn 5%
oder h”her
Joachim Schmitt % % %
Solventis AG % % %
Solventis Beteiligungen GmbH % % %
Joachim Schmitt % % %
Sigma Beteiligungs- und Verwaltungs-GmbH % % %"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
9. Bei Vollmacht gem„á õ 22 Abs. 3 WpHG (nur m”glich bei einer Zurechnung nach õ 22 Abs. 1 Satz 1 Nr. 6 WpHG); 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Datum der Hauptversammlung:
Gesamtstimmrechtsanteil nach der Hauptversammlung: % (entspricht Stimmrechten)"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Ereignisse nach dem Abschlussstichtag; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Mit Beschluss des Aufsichtsrates vom 14. Juni 2017 wurde Herr Ulrich Zimmermann mit Wirkung zum 19. Juni 2017 als neues Vorstandsmitglied bestellt. Herr Zimmermann wird das Ressort ""Finanzen""
verantworten und das bisherige Vorstandsteam erg„nzen"; 99 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Ergebnisverwendungsvorschlag; 84 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Der Vorstand schl„gt vor, den Bilanzgewinn in H”he von EUR 1.091.912,12 auf neue Rechnung vorzutragen.; 78,84 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
K”ln, 27. Juli 2017;;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Bastei Lbbe AG
Der Vorstand
Thomas Schierack
Klaus Kluge
Ulrich Zimmermann";;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Entwicklung des Anlageverm”gens der Bastei Lbbe AG, K”ln im Gesch„ftsjahr 2016/2017
Anschaffungs- oder Herstellungskosten
Stand am 1.4.2016.
EUR
Zugang.
EUR
Abgang.
EUR
Umbuchungen.
EUR
Stand am 31.3.2017.
EUR
1. Immaterielle Verm”gensgegenst„nde
1. Konzessionen, gewerbliche
Schutzrechte und „hnliche
Rechte und Werte sowie
14.772.097,48 455.425,20 6.906.288,65 135.149,00 8.456.383,03
Anschaffungs- oder Herstellungskosten
Stand am 1.4.2016.
EUR
Zugang.
EUR
Abgang.
EUR
Umbuchungen.
EUR
Stand am 31.3.2017.
EUR
Lizenzen an solchen Rechten
und Werten
2. Gesch„fts- und Firmenwert 2.455.012,56 0,00 1.272.268,22 0,00 1.182.744,34
3. Geleistete Anzahlungen 135.149,00 74.087,50 0,00 -135.149,00 74.087,50
17.362.259,04 529.512,70 8.178.556,87 0,00 9.713.214,87
II. Sachanlagen
1. Grundstcke, grundstcksgleiche
Reche und Bauten
einschlieálich der Bauten auf
fremden Grundstcken
1.668.900,45 81.968,04 311.360,98 0,00 1.439.507,51
2. Technische Anlagen und
Maschinen
64.329,87 1.799,05 27.954,50 0,00 38.174,42
3. Andere Anlagen, Betriebsund
Gesch„ftsausstattung
5.645.917,11 268.479,62 2.913.065,52 0,00 3.001.331,21
4. Geleistete Anzahlungen
und Anlagen im Bau
0,00 0,00 0,00 0,00 0,00
7.379.147,43 352.246,71 3.252.381,00 0,00 4.479.013,14
III. Finanzanlagen
1. Anteile an verbundenen
Unternehmen
9.726.541,20 10.700.001,00 40.942,00 20.385.600,20
2. Beteiligungen 440.069,31 263.132,80 11.759,71 691.442,40
3. Sonstige Ausleihungen 379.600,00 2.877.525,00 69.600,00 3.187.525,00
10.546.210,51 13.840.658,80 122.301,71 0,00 24.264.567,60
35.287.616,98 14.722.418,21 11.553.239,58 0,00 38.456.795,61
Kumulierte Abschreibungen
Stand am 1.4.2016.
EUR
Zugang.
EUR
Abgang.
EUR
Stand am 31.3.2017.
EUR
1. Immaterielle Verm”gensgegenst„nde
Kumulierte Abschreibungen
Stand am 1.4.2016.
EUR
Zugang.
EUR
Abgang.
EUR
Stand am 31.3.2017.
EUR
1. Konzessionen, gewerbliche
Schutzrechte und „hnliche Rechte
und Werte sowie Lizenzen an solchen
Rechten und Werten
6.985.411,48 1.345.462,20 2.796.668,65 5.534.205,03
2. Gesch„fts- und Firmenwert 1.044.728,56 103.148,00 383.553,22 764.323,34
3. Geleistete Anzahlungen 0,00 0,00 0,00 0,00
8.030.140,04 1.448.610,20 3.180.221,87 6.298.528,37
II. Sachanlagen
1. Grundstcke, grundstcksgleiche
Reche und Bauten einschlieálich der
Bauten auf fremden Grundstcken
618.071,45 187.117,04 212.921,98 592.266,51
2. Technische Anlagen und Maschinen
41.703,87 5.460,05 19.905,50 27.258,42
3. Andere Anlagen, Betriebs- und
Gesch„ftsausstattung
4.188.435,60 426.072,62 2.452.276,52 2.162.231,70
4. Geleistete Anzahlungen und Anlagen
im Bau
0,00 0,00 0,00 0,00
4.848.210,92 618.649,71 2.685.104,00 2.781.756,63
III. Finanzanlagen
1. Anteile an verbundenen Unternehmen
0,00 250.000,00 0,00 250.000,00
2. Beteiligungen 0,00 91.238,36 0,00 91.238,36
3. Sonstige Ausleihungen 0,00 0,00 0,00 0,00
0,00 341.238,36 0,00 341.238,36
12.878.350,96 2.408.498,27 5.865.325,87 9.421.523,36
Buchwerte
Stand am 31.3.2017.
EUR
Stand am 31.3.2016.
EUR
1. Immaterielle Verm”gensgegenst„nde
Buchwerte
Stand am 31.3.2017.
EUR
Stand am 31.3.2016.
EUR
1. Konzessionen, gewerbliche Schutzrechte und „hnliche
Rechte und Werte sowie Lizenzen an solchen Rechten und
Werten
2.922.178,00 7.786.686,00
2. Gesch„fts- und Firmenwert 418.421,00 1.410.284,00
3. Geleistete Anzahlungen 74.087,50 135.149,00
3.414.686,50 9.332.119,00
II. Sachanlagen
1. Grundstcke, grundstcksgleiche Reche und Bauten einschlieálich
der Bauten auf fremden Grundstcken
847.241,00 1.050.829,00
2. Technische Anlagen und Maschinen 10.916,00 22.626,00
3. Andere Anlagen, Betriebs- und Gesch„ftsausstattung 839.099,51 1.457.481,51
4. Geleistete Anzahlungen und Anlagen im Bau 0,00 0,00
1.697.256,51 2.530.936,51
III. Finanzanlagen
1. Anteile an verbundenen Unternehmen 20.135.600,20 9.726.541,20
2. Beteiligungen 600.204,04 440.069,31
3. Sonstige Ausleihungen 3.187.525,00 379.600,00
23.923.329,24 10.546.210,51
29.035.272,25 22.409.266,02"; 15,16 ;2016/2018;AG;Jahresabschluss;Ebner Stolz
"Verbindlichkeitenspiegel der Bastei Lbbe AG, K”ln zum 31. M„rz 2017
Erwartete Restlaufzeiten
Gesamtbetrag.
EUR
bis 1 Jahr.
EUR
1-5 Jahre.
EUR
ber 5 Jahre.
EUR
Anleihen 0,00 0,00 0,00 0,00
(im Vorjahr) (30.000.000,00) (30.000.000,00) (0,00) (0,00)
Verbindlichkeiten gegenber Kreditinstituten 34.060.071,86 3.810.071,86 30.250.000,00 0,00
(im Vorjahr) (1.549.725,63) (1.549.725,63) (0,00) (0,00)
Erwartete Restlaufzeiten
Gesamtbetrag.
EUR
bis 1 Jahr.
EUR
1-5 Jahre.
EUR
ber 5 Jahre.
EUR
Verbindlichkeiten aus Lieferungen und Leistungen 17.489.567,13 17.489.567,13 0,00 0,00
(im Vorjahr) (9.188.185,84) (9.188.185,84) (0,00) (0,00)
Verbindlichkeiten gegenber verbundenen Unternehmen 2.009.392,35 2.009.392,35 0,00 0,00
(im Vorjahr) (4.362,97) (4.362,97) (0,00) (0,00)
Verbindlichkeiten gegenber Unternehmen, mit denen ein Beteiligungsverh„ltnis
besteht
485.341,14 485.341,14 0,00 0,00
(im Vorjahr) (0,00) (0,00) (0,00) (0,00)
Sonstige Verbindlichkeiten 6.528.664,34 6.528.664,34 0,00 0,00
(im Vorjahr) (1.326.818,64) (1.326.818,64) (0,00) (0,00)
60.573.036,82 30.323.036,82 30.250.000,00 0,00
(42.069.093,08) (42.069.093,08) (0,00) (0,00)"; 49,50 ;;;;
;;;;;
